""	"OVK.18"	"OVTOKO"	"OC.314"	"OV.17R"	"Hey"	"IGROV.1"	"EFO.21"	"TYK.nu"	"EFO.27"	"TOV.21G"	"OAW.28"	"OVCA433"	"OV.56"	"OVCAR.8"	"KURAMOCHI"	"FU.OV.1"	"JHOS.4"	"PA.1"	"OV.7"	"A2780"	"KGN"	"ES.2"	"JHOS.2"	"OVISE"	"OVKATE"	"PEO1"	"Caov.3"	"SK.OV.3"	"JHOS.3"	"OVMIU"	"OVCA420"	"RMG.I"	"SW626"	"Caov.4"	"RKN"	"OAW.42"	"DOV13"	"OV.90"	"UWB1_289"	"OVCAR.5"	"OVCAR.3"	"TOV.112D"	"OVCAR.4"
"BAP1"	0	1	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	1	1	0	0
"USH2A"	0	1	1	1	0	1	1	0	1	0	0	1	1	0	1	1	0	1	0	0	1	0	1	0	0	1	1	0	1	1	1	1	1	0	1	1	1	0	0	0	0	1	0
"DNAH2"	0	1	1	0	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	0	1	1	1	0	0	0	0	1	0	0	1	0	1	1	0	0	0	1	1	0	0
"THSD7A"	1	0	1	0	1	0	0	0	1	1	0	1	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	1	0	1	0	0	1	1	1	0	1	0	1	0	1	0
"APOB"	1	1	0	0	0	1	1	1	0	0	0	1	1	1	1	1	0	1	1	0	1	1	1	0	0	0	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1
"FLNC"	1	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	1	1	1	0	1	0	1	0	1	1	1	0	1	1	0	1	0	0	0	0	0	0	1	1	1	0
"NOTCH1"	0	1	0	1	0	0	0	1	1	1	1	1	0	0	0	0	0	1	0	1	0	0	1	0	1	1	0	1	1	1	0	0	1	0	0	1	0	1	0	1	0	1	1
"FBXW7"	0	1	0	0	0	0	0	1	1	1	0	1	1	0	1	0	1	0	1	0	1	0	0	0	0	1	0	0	1	1	1	0	1	0	0	1	0	0	0	1	1	0	1
"OBSCN"	0	0	1	0	0	1	0	1	1	0	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	0	0	0	0	1	0	0	1	1	0	0	0
"SPTA1"	1	1	0	1	1	0	1	0	1	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	1	1	0	0	0	1	1	0	1	0	0	0	0	1	0	0	1	1	1
"MYO7B"	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	1	1	1	1	1	1	0	0	1	0	0	0	1	0	1	0	1	1	1	1	0	1
"DNAH8"	0	1	1	1	0	1	1	0	1	1	1	0	1	0	1	1	1	0	0	0	0	0	1	1	1	0	1	1	0	1	0	0	1	1	1	0	1	1	0	0	1	0	1
"MUC5B"	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	1	1	0	1	1	1	1	1	1	0	1	1	0	1	1	1	0	0	1	1	1	0	1	0	1	0	1
"DYNC2H1"	0	0	0	1	1	1	1	1	0	1	1	0	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0
"CD163L1"	0	1	1	1	1	0	1	1	1	0	1	1	0	0	0	0	1	1	1	0	1	1	1	1	1	1	0	0	1	0	0	1	1	1	0	1	1	1	1	0	0	1	0
"CUBN"	0	1	1	1	1	1	0	0	0	0	1	0	1	0	1	1	0	1	1	0	0	0	0	1	1	0	0	1	0	1	0	1	1	1	1	1	1	1	0	1	0	1	0
"POLR2A"	1	1	0	1	1	1	0	1	1	0	1	1	1	0	1	1	0	0	1	1	1	1	0	1	1	0	0	0	1	0	0	0	1	1	0	1	1	0	1	1	0	1	1
"SLIT2"	0	0	0	0	0	1	1	0	0	1	1	1	1	1	1	0	0	0	1	1	0	1	1	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	1	0
"RNF43"	0	0	1	1	1	0	1	1	0	0	1	0	0	0	0	0	0	1	1	1	0	0	1	1	0	0	1	0	0	1	1	0	1	1	1	0	0	1	1	0	1	1	1
"FLG"	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	1	0	1	0	1	1	1	1	1	1	0	0	1	1	0	0	1	0	0	1	0	1	1	0	1
"KIF21A"	0	1	1	1	1	0	1	0	1	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0	1	0	1	0	1	1	0
"LRP1B"	1	1	0	1	1	1	0	0	1	1	0	1	0	1	0	1	0	1	1	1	1	1	1	0	1	0	0	0	1	0	1	1	1	0	1	1	1	0	0	0	1	1	1
"CACNA1A"	0	1	0	1	0	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	1	0	1	1	1	1	0	0	1	1	1	1	0	1	1	0	0	0	0	0
"ADAMTS16"	1	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	1	1	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0
"ATP8B4"	1	0	1	1	0	1	0	1	1	0	1	0	0	0	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	0	1	0	0	0	1	1	0	1	1	1	1	1	1
"TP53"	1	1	1	1	1	0	1	1	1	0	1	1	0	1	1	0	0	1	0	0	1	1	1	1	1	0	0	0	0	1	1	0	0	1	1	1	0	0	0	1	1	0	1
"ADAMTS12"	1	0	0	1	1	1	0	1	1	1	1	0	0	0	1	1	0	0	1	1	0	1	0	1	1	0	1	1	0	1	1	0	1	0	1	0	1	0	0	0	0	1	0
"DST"	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	0	0	1	0	1	0	1	1	1	0	0	0	0	0	1	0	1	1	0	0	1
"SCN10A"	0	1	1	0	0	0	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	1	0	0	0	1	0	1	1	1	0	0	1	1	0	1	0	0	1	0
"ERBB4"	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1	1	1	1	1	1	1	0	0	1	1	0	0	1	1	1	0	0	0	0	1	1	1	1	0	0	1	0	1
"PRKDC"	0	0	1	1	0	0	0	0	1	1	1	0	1	1	0	0	0	0	0	1	1	1	1	1	1	0	0	1	1	1	0	0	1	0	1	1	1	1	1	1	1	1	0
"FLNA"	0	0	1	0	0	0	1	1	1	0	1	0	0	1	1	1	1	1	0	1	0	1	1	1	0	0	0	1	1	0	0	1	1	0	1	0	1	0	0	0	0	1	1
"RANBP2"	1	0	0	1	0	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	1	0	1	0	0	1	1	0	0	1	1	1	1	1	0
"PTEN"	1	1	1	1	0	1	0	0	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	0	0	1	0	1	1
"DNAH5"	0	0	0	1	1	1	0	0	1	0	1	1	0	0	0	0	0	0	1	0	1	1	0	1	1	1	0	1	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0
"RYR3"	0	0	1	0	0	1	1	0	1	1	0	1	0	1	1	0	1	1	1	0	0	1	0	0	1	1	1	1	0	1	1	1	0	1	1	0	1	1	0	0	0	0	1
"COL3A1"	0	0	0	1	1	1	0	1	1	1	0	0	0	0	0	1	0	1	0	0	1	1	1	0	0	1	0	0	0	1	1	1	1	1	0	1	0	1	0	1	0	1	1
"SCN3A"	1	1	0	1	0	1	1	1	1	0	1	1	0	1	0	0	1	0	1	0	0	0	1	1	0	0	1	0	0	0	0	1	1	1	0	0	0	1	0	0	0	1	0
"SYNE2"	0	0	0	0	1	1	0	1	0	0	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	1	1	1	1	0
"COL4A4"	0	1	1	1	0	0	1	0	1	0	0	1	0	1	1	1	0	0	1	1	1	1	0	0	0	1	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0
"FAT3"	1	1	1	1	0	1	0	1	0	1	0	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	1	1	0	1	0	0	1	1	1	0	0	0	1	1	0	1	0
"TG"	1	0	0	1	0	1	1	1	1	1	1	0	1	0	0	1	0	1	1	0	1	1	0	1	0	0	0	0	0	1	0	0	1	1	0	1	1	1	1	0	1	0	0
"TENM1"	0	0	0	0	1	1	1	1	0	1	0	1	0	1	0	1	1	1	0	1	1	1	1	0	0	1	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0
"FBN2"	0	1	0	1	0	1	1	0	0	0	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	0	0	1	0	0	1	1	0	1	0	1	0	0	1	1	1	1
"ATP2B3"	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	0	0	0	1	0	1	0	1	1	0	0	1	0	0	0	1	0	1	1	1	0	1	0	1	0	1	0	1
"COL22A1"	0	0	0	0	1	0	0	0	1	0	0	1	0	1	1	0	0	0	0	1	1	0	1	0	1	0	0	0	1	0	0	1	1	1	1	1	0	1	1	1	0	0	0
"MYH9"	0	1	1	1	0	1	0	1	1	0	0	0	1	0	1	0	0	1	0	0	1	1	0	0	1	1	1	1	0	0	1	0	1	1	0	0	1	1	1	0	1	1	0
"UNC13C"	1	0	1	0	1	1	0	0	1	0	0	0	0	1	0	1	0	0	1	0	1	1	1	0	1	1	1	0	0	1	0	0	1	1	0	1	0	1	0	0	1	1	0
"EPHA3"	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	0	1	0	0	1	0	1	0	1	1	1	1	0	1	1	1	0	1	1	0	1	1	0	0	1	1	1
"AHNAK2"	1	1	1	1	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	1	1	0	0	1	1	1	1	1	1	0	0	0	1	0	0	1	1	0	0	1	0	1	1
"CACNA1C"	0	0	0	1	0	0	1	0	0	0	0	1	1	1	1	1	1	1	1	0	0	1	1	0	0	0	1	1	0	1	1	0	0	1	1	0	1	0	0	1	0	1	0
"LYST"	0	1	1	0	0	0	0	1	1	1	0	1	1	1	1	0	1	0	1	1	0	1	1	0	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0	1	1	1	0
"CSMD3"	0	0	1	1	1	0	1	1	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	1	1	1	1
"KMT2A"	0	1	1	1	0	0	1	1	1	1	1	0	0	1	1	0	1	1	1	1	0	0	1	1	0	1	1	1	0	1	0	0	0	1	0	1	1	1	1	0	0	1	0
"SDK1"	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	1	1	0	0	1	1	1	0	1	1	1	0	0	1	0	0	1	0	1
"MYO3A"	0	0	1	1	0	1	0	1	0	0	0	1	1	0	1	1	0	0	1	1	1	1	0	1	1	1	1	0	0	0	0	1	0	1	0	0	1	1	1	0	1	0	1
"RPL22"	1	1	0	0	1	0	1	1	1	0	0	1	0	1	1	0	0	0	0	1	1	1	0	0	0	0	1	0	0	1	1	1	1	0	1	0	0	0	0	0	1	1	1
"MYCBP2"	0	0	0	1	1	0	0	1	0	1	1	0	1	0	0	1	1	0	1	1	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0
"MAP3K1"	1	1	0	0	0	1	1	0	1	1	0	1	1	0	1	1	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	1	0	1	1	0	0	1
"SCN11A"	0	1	1	1	1	1	1	0	1	1	0	0	1	1	0	0	0	0	1	1	0	1	1	0	0	1	0	1	0	0	0	0	1	0	1	0	0	1	1	1	1	0	1
"AHNAK"	0	0	1	0	0	0	1	1	0	0	1	0	0	0	1	1	1	0	0	1	1	0	0	0	0	1	0	1	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0
"MYH7"	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	1	0	1	1	0	0	1	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PTPRT"	1	1	1	0	0	1	1	1	0	1	1	1	0	1	1	0	1	0	0	0	1	0	1	0	1	1	1	1	1	0	0	1	1	1	0	0	0	0	1	1	0	0	1
"MYH10"	1	0	0	1	0	1	1	0	1	0	0	1	1	0	0	1	1	1	0	0	0	1	0	1	0	1	0	0	1	1	0	0	1	0	1	0	0	1	1	1	0	0	1
"RYR2"	1	1	1	0	1	1	0	0	0	0	0	1	1	0	1	0	1	1	1	0	1	0	1	0	1	0	1	1	1	1	0	0	0	1	1	1	1	1	0	1	1	0	1
"MYH2"	1	1	0	0	1	1	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1	1	1	0	1	0	1	0	1	0	1
"UBR5"	0	1	0	1	0	0	1	0	0	1	1	0	1	1	0	0	1	0	1	1	0	1	0	0	1	1	1	0	0	0	1	0	1	1	1	1	0	1	0	1	1	1	1
"ABCA13"	0	0	0	0	1	0	1	0	1	1	1	1	1	1	1	1	0	1	0	0	1	0	0	0	1	1	0	1	1	0	1	0	0	0	1	0	1	1	1	0	1	0	0
"COL6A3"	0	1	1	1	1	1	0	1	1	0	1	0	0	0	0	0	1	0	1	0	1	1	1	1	0	0	0	1	0	1	0	1	1	1	0	1	1	0	0	0	0	0	1
"DNAH11"	1	0	1	1	0	1	1	1	1	0	1	1	0	0	0	1	1	1	0	0	1	1	0	0	1	1	0	1	1	0	0	0	1	1	0	0	1	0	1	0	0	0	0
"LPA"	0	1	1	1	0	0	0	0	1	1	0	0	1	1	0	1	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	1	1	0	0	1	0	0	1
"HERC2"	1	1	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	1	1	0	1	1
"IDH1"	0	1	0	0	0	1	1	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	0	0	1	0	1	1	0	0	0
