""	"OVK.18"	"OVTOKO"	"OC.314"	"OV.17R"	"Hey"	"IGROV.1"	"EFO.21"	"TYK.nu"	"EFO.27"	"TOV.21G"	"OAW.28"	"OVCA433"	"OV.56"	"OVCAR.8"	"KURAMOCHI"	"FU.OV.1"	"JHOS.4"	"PA.1"	"OV.7"	"A2780"	"KGN"	"ES.2"	"JHOS.2"	"OVISE"	"OVKATE"	"PEO1"	"Caov.3"	"SK.OV.3"	"JHOS.3"	"OVMIU"	"OVCA420"	"RMG.I"	"SW626"	"Caov.4"	"RKN"	"OAW.42"	"DOV13"	"OV.90"	"UWB1_289"	"OVCAR.5"	"OVCAR.3"	"TOV.112D"	"OVCAR.4"
"DST"	1	0	0	0	0	1	1	0	1	0	0	1	1	1	0	0	0	1	1	1	0	1	1	0	1	1	0	1	1	1	0	0	1	1	1	1	0	0	0	0	1	1	1
"SCN10A"	0	0	1	0	1	0	0	1	1	1	0	1	1	1	1	0	0	1	1	0	1	0	1	0	0	1	1	0	1	1	1	0	0	1	1	1	0	1	1	1	1	0	1
"ERBB4"	1	0	0	1	1	1	0	0	1	1	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0
"PRKDC"	1	0	0	0	0	1	1	1	0	1	0	0	0	0	1	0	1	1	0	0	0	1	0	1	0	1	0	0	0	1	1	1	0	0	1	0	0	1	1	0	0	1	0
"FLNA"	0	1	0	0	0	1	1	1	1	1	1	1	0	1	0	0	1	1	1	0	1	0	0	1	0	1	0	1	1	1	0	1	1	0	1	1	0	0	0	0	0	1	1
"RANBP2"	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	0	1	1	1	1	1	0	1	1	1	1	0	0	1	0	0	1
"PTEN"	0	1	1	0	1	1	1	1	1	0	0	1	1	0	0	1	0	0	0	1	0	0	1	1	0	0	1	1	0	1	1	0	1	0	0	0	0	0	0	1	0	1	0
"DNAH5"	1	0	0	1	1	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	1	1	1	0	0	0	0	0	1	0	1	1	0	1
"RYR3"	0	0	1	0	0	1	0	0	0	0	1	1	1	0	0	0	0	1	0	1	1	0	1	0	0	0	0	1	0	1	0	1	1	1	0	1	0	0	1	0	1	1	1
"COL3A1"	0	1	1	0	0	0	1	1	0	1	0	1	0	0	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	0	0	1	1	0	0	1	0	1	0	0	0	1
"SCN3A"	0	0	1	1	1	1	1	0	1	1	0	1	0	0	1	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0
"SYNE2"	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	0	1	1	0	1	0	1	0	0	1	0	0	1	1	1	0	0	1	0	1	1	1	1	1	0	0	0	0
"COL4A4"	1	0	0	1	0	1	0	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	1	0	0	1	0	0	0	0	0	1	1	0	1	0	1	0	1	1
"FAT3"	0	1	0	1	1	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	1	1	0	0	0	1	0	0	0	0	1	1	0
"TG"	1	1	0	0	1	0	0	1	0	0	1	0	1	1	0	1	1	0	1	0	1	0	1	1	1	1	0	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1
"TENM1"	0	1	0	1	0	1	1	1	1	0	1	1	0	1	0	1	0	0	1	0	0	1	0	0	1	0	1	1	1	0	1	1	0	1	0	1	0	0	0	0	1	0	0
"FBN2"	1	0	1	0	1	0	0	0	1	1	1	1	1	0	0	1	1	0	1	0	0	1	1	0	1	1	1	1	1	0	0	1	0	1	1	0	1	0	1	1	0	1	0
"ATP2B3"	0	1	1	0	1	1	0	0	0	0	1	0	0	1	1	1	0	0	0	1	1	0	0	1	1	1	1	0	0	0	0	1	1	0	1	0	1	0	0	0	0	1	0
"COL22A1"	0	0	1	0	0	0	1	0	0	1	0	1	0	1	0	0	1	1	0	1	0	0	1	0	0	1	0	0	1	1	0	1	0	0	0	1	1	1	0	0	1	0	0
"MYH9"	1	0	1	0	0	0	1	0	0	1	1	0	0	0	1	0	0	1	0	1	1	1	1	1	0	1	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	1	0
"UNC13C"	1	1	1	0	0	0	1	0	0	0	1	0	1	0	1	0	1	0	1	0	1	1	0	0	0	0	1	1	1	1	0	1	0	1	1	0	1	0	1	1	0	0	0
"EPHA3"	1	0	1	0	1	1	1	1	1	1	1	0	1	0	1	0	1	0	1	0	1	0	0	1	1	1	0	1	0	0	1	0	1	0	0	1	1	1	1	1	0	0	1
"AHNAK2"	1	1	0	0	1	1	1	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	1	1	0	0	1	0	0	1	1	0	0	1	1	1	0	1	1	0	0	0
"CACNA1C"	1	0	0	1	0	0	0	0	0	0	1	1	0	1	0	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1	0	1	0	0	1	1	1	1	0	1	1	0	1
"LYST"	1	1	0	0	1	1	0	1	1	0	1	1	1	1	1	0	1	0	1	0	1	0	1	0	1	0	0	0	1	1	0	0	0	0	0	1	1	1	0	1	1	1	0
"CSMD3"	0	1	1	0	1	0	0	1	1	0	1	0	0	1	0	1	0	0	1	0	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	1	1	0	1	1	0	0	0
"KMT2A"	0	0	0	1	0	1	1	0	0	0	0	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	0	1	1	0	1	0	0	1	0	0	1	0	0	1	1	0	1
"SDK1"	0	0	1	0	1	0	1	1	0	0	1	0	0	0	0	1	1	0	1	1	1	0	0	1	1	1	0	0	0	1	1	0	1	0	1	0	1	1	0	1	1	0	0
"MYO3A"	0	1	1	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	1	1	0	1	0	0	0	1	1	0	1	1	0	1	1	0	1	1	0	1	0	1	0	0	1
"RPL22"	0	1	1	1	0	1	1	1	1	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	1	1	1	0	0	1	1	1	0	0	1	1	0
"MYCBP2"	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	0	0	1	0	0	0	1	0	1	1	0	0	0	1	1	0	1
"MAP3K1"	1	0	0	1	1	1	0	0	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	1	1	0	1	0	0	0	0	1	0	0	0	1	1	1	0	1	0	0
"SCN11A"	1	1	1	0	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	0	0	0	0	1	0	0	1	1	0	1	0	1	1	0	0	0
"AHNAK"	1	1	1	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	1	1	1	0	0	0	1	0	0	1	0	1	1	0	0	0	1	0	0	1	1	1
"MYH7"	1	1	0	0	1	0	0	0	1	1	1	0	0	1	1	1	0	0	0	1	1	0	0	0	0	1	1	0	1	1	1	0	0	0	1	1	0	1	1	0	0	0	0
"PTPRT"	1	1	1	1	0	1	1	0	0	1	1	0	0	0	0	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1
"MYH10"	0	0	1	0	1	0	0	0	1	1	0	0	1	0	0	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	1	1	0	1	0	1	0	1	0	0	0
"RYR2"	0	1	0	1	1	1	0	1	0	1	1	1	0	1	1	1	1	0	1	0	1	1	0	0	0	0	1	1	1	1	1	0	1	1	0	0	1	1	0	0	0	0	0
"MYH2"	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	1	0	1	0	1	1	1	0	1	0	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0
"UBR5"	1	0	1	0	0	0	1	0	1	1	1	1	0	1	0	0	0	0	0	1	1	0	1	0	1	1	0	0	1	1	0	1	0	1	0	0	1	0	0	1	0	0	1
"ABCA13"	0	0	0	1	1	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	0	1	0	0	1	0	1	0	0	1	1	0	0	1	1	1	0	1	1	0	1
"COL6A3"	0	1	1	0	1	0	1	1	1	0	1	1	1	0	0	0	1	1	0	1	0	1	1	1	1	1	1	1	1	0	0	1	1	0	0	0	1	0	0	1	1	0	0
"DNAH11"	0	0	0	1	0	1	0	0	1	1	0	0	1	0	0	1	1	0	1	0	1	1	0	0	0	1	0	1	1	1	0	1	1	0	0	0	0	1	0	1	1	0	1
"LPA"	1	1	0	0	1	1	0	1	1	0	1	0	0	1	1	1	0	0	0	1	1	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
"HERC2"	1	0	1	0	0	0	0	0	0	1	1	1	1	1	1	0	1	1	0	1	1	0	0	0	0	0	1	1	0	1	0	1	1	0	0	0	1	1	1	1	0	0	1
"IDH1"	1	0	0	1	0	0	1	0	0	1	0	1	0	0	1	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	1	1	0	0	1
