""	"OVK.18"	"OVTOKO"	"OC.314"	"OV.17R"	"Hey"	"IGROV.1"	"EFO.21"	"TYK.nu"	"EFO.27"	"TOV.21G"	"OAW.28"	"OVCA433"	"OV.56"	"OVCAR.8"	"KURAMOCHI"	"FU.OV.1"	"JHOS.4"	"PA.1"	"OV.7"	"A2780"	"KGN"	"ES.2"	"JHOS.2"	"OVISE"	"OVKATE"	"PEO1"	"Caov.3"	"SK.OV.3"	"JHOS.3"	"OVMIU"	"OVCA420"	"RMG.I"	"SW626"	"Caov.4"	"RKN"	"OAW.42"	"DOV13"	"OV.90"	"UWB1_289"	"OVCAR.5"	"OVCAR.3"	"TOV.112D"	"OVCAR.4"
"SMARCA4"	0	1	1	0	1	1	0	0	1	0	1	1	1	0	0	0	1	0	1	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	0	1	1	0	0
"ACVR2A"	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	1	0	1	0	1	1	0	1	0	1	0	1	1	0	1	0	1	1	1	0	1	1	0	1	1	0
"PKHD1L1"	1	1	1	1	1	0	1	1	0	0	1	0	1	0	1	0	0	1	1	0	0	0	0	1	0	1	1	1	0	0	0	1	0	0	1	1	0	1	1	0	1	1	0
"SF3B1"	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	1	1	0	1	1	0	1	1	1	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0
"ATM"	0	0	0	0	0	0	0	1	1	1	0	0	1	0	1	0	1	1	0	1	1	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	1	0	1	1	1	0	0
"MYH8"	0	0	0	1	1	1	1	0	0	1	1	1	0	1	1	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	0	1	0	1	0	0	0	0	1	1
"FREM2"	0	1	1	0	1	1	1	0	0	0	1	1	0	1	0	0	0	1	0	1	0	1	1	1	1	1	0	1	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1
"CFH"	0	1	0	0	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	1	1	1	0	0	1	0	0	0	1	1	1	1	0	1	0	0	0	1	1	1	0	1	0
"BAP1"	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	0	1	1	1	0	1	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0
"USH2A"	0	0	0	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	0	0	1	1	1	1	0	0	1	0	1	1	1	0	0	0	0	0	0	1	0	0	1	1
"DNAH2"	0	0	1	0	1	0	1	0	0	1	1	1	0	1	0	0	1	0	1	1	1	1	1	1	0	1	1	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	1
"THSD7A"	0	0	0	0	1	0	1	1	0	1	1	1	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0	1	1	0	1	0	0
"APOB"	0	0	1	0	1	0	1	1	1	0	0	0	1	0	0	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	0	0	0	1	1	1	1	0	1	0	0
"FLNC"	0	0	1	1	1	0	0	0	1	0	1	0	0	1	1	0	0	1	1	1	1	1	1	0	0	1	1	0	1	0	1	0	1	1	1	0	1	1	0	1	0	0	1
"NOTCH1"	0	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	1	1	1	1	0	0	1	1	1	0	1	1	0	1	0	1	0	1	0	1	0	0	1	0	0
"FBXW7"	1	1	0	1	0	0	0	1	1	1	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1	0	0	1	0	1	1
"OBSCN"	0	0	1	1	1	1	1	0	0	1	0	0	1	1	1	1	0	1	0	0	0	1	0	1	1	1	1	1	0	0	0	0	1	1	0	1	1	0	0	0	1	1	0
"SPTA1"	1	1	0	0	0	0	0	1	1	1	0	0	1	1	1	0	1	1	1	0	1	0	0	0	0	1	1	0	1	1	0	1	0	1	0	0	1	1	0	0	0	1	1
"MYO7B"	1	0	1	0	0	0	1	0	1	1	1	1	1	1	0	1	1	1	0	0	0	1	1	1	1	0	1	0	1	1	0	1	0	1	1	1	0	0	0	0	1	1	1
"DNAH8"	1	0	1	0	1	1	1	0	0	0	0	0	0	1	0	1	0	1	0	1	1	0	1	1	0	1	1	0	1	1	0	0	1	0	1	0	0	0	0	1	0	0	0
"MUC5B"	0	1	1	1	1	0	0	0	0	1	1	0	1	0	0	0	1	1	1	1	0	1	0	0	1	0	0	1	1	0	1	1	1	0	1	0	0	0	0	0	0	0	1
"DYNC2H1"	1	0	1	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	0	1	0	1	1	1	0
"CD163L1"	1	1	0	1	0	1	1	1	0	0	0	1	1	0	0	0	0	1	0	1	0	0	1	0	0	1	1	0	1	0	0	1	1	1	0	1	0	1	1	1	1	1	0
"CUBN"	0	1	1	1	1	1	0	0	1	1	0	0	0	1	1	0	1	0	0	0	1	0	0	1	0	1	1	1	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0
"POLR2A"	0	0	1	1	1	1	0	1	0	0	0	1	0	1	1	0	1	0	0	0	0	1	1	0	1	0	1	0	0	1	0	0	1	1	0	1	0	1	0	0	1	0	0
"SLIT2"	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	1	1	1	0	1	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0	0	1	1	0	1	1	1	0
"RNF43"	1	1	1	1	1	0	1	1	1	0	1	0	0	0	1	0	0	0	0	1	1	1	0	0	0	1	0	1	1	1	1	1	0	0	0	1	1	0	1	1	1	1	1
"FLG"	1	1	0	1	1	1	0	1	0	1	0	0	0	1	1	0	1	0	1	1	0	0	1	1	0	0	0	1	0	0	0	0	1	1	1	0	0	0	1	0	1	1	1
"KIF21A"	1	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	1	1	1	1	1	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1
"LRP1B"	1	0	1	0	1	0	1	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	1	0	1	1	1	0	0	1	1	0	0	1	1	0	0	0	1	0	1	0
"CACNA1A"	0	1	1	0	1	1	0	0	1	0	1	0	1	1	0	1	1	1	1	0	0	1	1	1	1	1	0	0	1	1	0	1	0	1	0	0	0	0	0	1	1	0	1
"ADAMTS16"	0	0	0	0	0	0	1	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	1	1	1	1	0	1	0	1	0	0
"ATP8B4"	1	0	1	1	0	1	1	1	1	0	1	0	0	0	0	0	1	1	0	1	1	1	1	1	1	1	1	0	0	1	0	1	0	1	0	0	1	0	1	1	0	0	1
"TP53"	1	1	0	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1	1	0	1	1	1	0	1	0	0	1	0	1	0	1	1	0	1	0	1	0	0	0	0	0	0
"ADAMTS12"	1	1	1	0	1	0	0	0	0	1	1	1	0	1	0	1	1	0	1	0	1	0	0	1	0	0	0	1	0	1	0	1	0	1	0	1	1	0	0	0	1	0	1
"DST"	1	0	1	0	1	1	1	1	1	0	1	0	1	1	1	0	1	0	0	0	1	1	1	1	1	0	0	1	1	0	1	0	0	1	1	0	1	0	1	0	0	1	0
"SCN10A"	1	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	1	1	0
"ERBB4"	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	1	1	1	1	0	1	0	0	1	0	1	1	0	0	0	1	1	1	0	0
"PRKDC"	0	0	1	1	0	1	1	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	1	0	0	1	0	1	1	1	0	1	1	1	0	1	1	0	1	1	0	0
"FLNA"	0	0	0	0	0	0	1	1	1	0	0	0	1	1	0	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	0	0	0	1	1	1	1	0	1	1	1	1	1
"RANBP2"	0	0	0	1	1	1	0	1	0	0	1	0	0	0	1	1	0	1	1	1	1	1	0	0	1	1	1	0	0	1	0	0	0	0	1	1	1	0	1	1	0	1	0
"PTEN"	1	1	0	0	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	0	0	0	1	1	1	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	1	1
"DNAH5"	0	1	0	1	0	1	0	1	1	0	1	0	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	1	0	1	0	1	1
"RYR3"	1	0	1	1	0	1	0	1	1	1	0	1	0	0	0	0	0	0	1	1	1	1	0	1	1	0	1	0	1	0	1	1	0	1	1	0	1	0	0	1	1	0	1
"COL3A1"	1	0	1	0	1	0	1	1	0	0	0	1	0	0	1	1	0	0	1	1	0	1	1	0	1	0	0	1	0	1	1	1	1	1	0	0	1	0	1	1	0	0	1
"SCN3A"	0	1	1	0	0	1	1	0	1	0	1	1	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	1	0	0	0	1	1	0	1	1	0	1	0	0	1
"SYNE2"	1	1	1	1	0	0	1	1	1	0	0	0	1	0	1	0	0	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	0	1	1	0	1	0	1	0	1	1	1
"COL4A4"	1	1	0	1	1	0	0	1	0	0	0	0	0	0	1	0	1	1	1	0	1	0	1	0	0	1	0	0	0	0	1	0	1	1	0	1	1	1	0	0	1	1	0
"FAT3"	0	1	1	0	1	0	0	0	0	1	1	0	0	1	1	1	0	1	0	0	1	0	1	1	1	0	1	1	0	1	0	1	0	1	0	1	0	0	1	1	1	1	1
"TG"	0	0	0	0	0	0	1	0	0	0	1	1	0	1	1	0	0	1	1	1	0	0	0	0	0	1	1	1	0	0	0	1	0	1	0	1	1	0	1	1	1	0	0
"TENM1"	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	1	0	0	1	1	0	1	0	1	0	0	1	0	0	1	1	1	1	1	0	0
"FBN2"	1	1	1	1	1	0	0	0	1	1	1	0	1	0	0	0	1	0	0	0	1	0	0	1	1	0	1	1	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0
"ATP2B3"	0	0	0	0	1	1	0	0	1	1	0	0	1	1	1	0	0	1	1	0	0	1	1	0	1	0	1	0	1	1	0	1	1	0	1	0	1	0	1	1	1	1	0
"COL22A1"	1	0	1	0	1	0	0	0	1	1	1	0	1	0	0	1	1	1	1	1	1	0	1	1	0	1	0	0	0	1	0	1	1	1	0	1	0	1	1	1	0	0	1
"MYH9"	0	1	1	1	1	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	1	1	0	1	1	1	1	1	1	1	1	0	0
"UNC13C"	0	1	1	1	1	1	0	0	1	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	1	0	0
"EPHA3"	0	1	0	0	1	1	1	0	1	0	1	0	1	1	0	0	1	1	1	0	0	0	1	1	0	1	0	1	0	1	0	0	1	0	0	1	0	1	1	0	1	1	0
"AHNAK2"	1	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	1	1	1	1	0	1	1	0	0	1	0	1	1	0	0	1	0	0	0	0	1	1	1	0	0
"CACNA1C"	0	1	1	1	1	1	0	1	1	0	0	0	0	1	0	1	0	1	1	0	0	0	0	1	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0
"LYST"	1	1	0	1	0	0	0	0	0	1	1	0	0	1	0	1	0	0	1	0	1	0	1	0	1	1	1	0	0	0	0	1	0	1	0	0	1	0	0	1	0	1	0
"CSMD3"	1	0	0	0	1	0	0	0	0	1	1	1	1	0	0	1	1	1	0	1	0	1	0	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	0	0	0	1	0
"KMT2A"	0	0	1	0	0	1	1	1	1	0	0	0	1	0	0	1	1	1	1	0	0	1	0	1	1	0	0	1	1	1	1	0	1	0	1	1	0	1	0	0	0	0	0
"SDK1"	1	0	0	1	1	0	1	0	0	0	0	1	1	0	1	1	1	0	0	1	1	0	0	0	1	0	1	1	1	1	0	1	1	1	0	1	0	0	1	1	1	1	1
"MYO3A"	0	0	0	1	0	0	0	1	0	0	1	0	0	1	1	1	0	1	0	1	1	0	0	1	1	1	1	1	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0
"RPL22"	0	0	1	1	1	1	1	1	1	0	0	1	1	1	0	1	1	0	1	1	1	0	1	1	1	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0
"MYCBP2"	0	1	0	1	0	1	0	0	1	0	0	0	1	1	0	0	1	1	1	1	1	0	0	1	1	0	1	0	0	1	1	1	0	1	1	1	1	1	0	1	0	0	0
"MAP3K1"	1	0	1	1	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	1	0	1	0	1	0	1	0	1
"SCN11A"	0	0	0	1	1	0	0	1	1	0	0	0	1	0	0	1	0	0	0	1	1	0	1	1	1	1	1	1	0	0	0	1	1	0	1	1	0	1	0	0	0	1	1
"AHNAK"	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0
"MYH7"	0	0	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	0	0	0	1	1	1	0	1	0	0	0	0	1	1	1	0	1	0	0	1	0	1	0	0	1
"PTPRT"	1	0	1	1	1	0	0	0	1	1	1	0	0	1	1	1	0	0	0	1	1	0	0	1	1	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	1	0	1
"MYH10"	1	0	1	0	0	1	1	0	0	0	1	0	1	0	1	1	0	0	0	1	1	0	0	0	0	1	1	1	1	0	0	1	1	1	1	0	0	0	0	0	1	0	1
"RYR2"	0	0	1	1	0	1	0	1	1	1	0	1	1	1	0	1	0	1	0	0	1	1	0	1	1	1	1	0	1	1	0	0	0	0	0	1	0	1	1	1	1	1	0
"MYH2"	1	1	1	0	1	0	1	1	1	1	1	0	1	1	0	0	0	1	0	0	1	0	0	0	0	1	1	1	0	0	1	1	0	1	0	0	0	1	1	1	0	0	1
"UBR5"	0	1	0	0	0	0	1	0	0	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	1	0	1	1	0	1	0	1	0	1	0	1	1	0	1	0	0	0
"ABCA13"	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	1	1	1	0	0	1	1	0	0	0	0	1	1	0	1	1	0	1	0	0	1	1	1
"COL6A3"	0	0	1	1	1	0	0	0	1	1	0	1	1	1	0	0	1	1	1	0	0	1	0	1	0	1	0	1	1	0	0	1	1	1	1	0	0	0	1	0	0	0	0
"DNAH11"	0	0	0	1	0	1	1	1	1	0	0	1	1	0	1	1	1	1	0	1	0	1	0	1	0	0	1	1	0	1	0	1	1	1	0	1	0	1	0	0	1	0	0
"LPA"	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	1	0	0	1	1	0	1	1	1	1	0	1	0	0	1	1	0	0	0	1	1
"HERC2"	0	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	0	1	0	0	0	0	1	1	0	1	0	0	0	1	0	0	1	1	0	0
"IDH1"	1	1	0	1	0	1	0	1	1	0	1	1	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	1	1
