""	"OVK.18"	"OVTOKO"	"OC.314"	"OV.17R"	"Hey"	"IGROV.1"	"EFO.21"	"TYK.nu"	"EFO.27"	"TOV.21G"	"OAW.28"	"OVCA433"	"OV.56"	"OVCAR.8"	"KURAMOCHI"	"FU.OV.1"	"JHOS.4"	"PA.1"	"OV.7"	"A2780"	"KGN"	"ES.2"	"JHOS.2"	"OVISE"	"OVKATE"	"PEO1"	"Caov.3"	"SK.OV.3"	"JHOS.3"	"OVMIU"	"OVCA420"	"RMG.I"	"SW626"	"Caov.4"	"RKN"	"OAW.42"	"DOV13"	"OV.90"	"UWB1_289"	"OVCAR.5"	"OVCAR.3"	"TOV.112D"	"OVCAR.4"
"APOB"	1	1	1	1	1	0	0	0	0	0	1	0	1	1	1	0	1	0	1	1	0	1	0	1	0	1	0	0	1	1	0	1	0	1	0	0	0	1	1	0	1	0	1
"FLNC"	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	1	0	1	0	0	1	1	0	1	1	1	0	1	0	1	1	0	0	0	0	0	1	1	0	0
"NOTCH1"	0	1	0	0	1	1	0	1	1	0	1	0	1	1	0	0	1	1	1	0	0	1	0	1	0	0	0	0	1	1	0	1	0	1	0	0	1	0	1	1	0	1	0
"FBXW7"	0	1	0	1	1	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	1	0	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	0	0	1	1	1	0
"OBSCN"	1	0	1	0	0	1	0	1	0	1	1	0	1	0	1	0	0	0	1	1	1	0	1	1	0	0	1	1	0	0	0	1	0	1	1	0	1	0	1	0	1	0	1
"SPTA1"	0	1	1	1	0	0	1	0	1	1	1	0	1	0	1	0	0	1	0	1	0	0	1	0	0	1	1	1	0	0	1	1	0	0	1	1	0	1	0	1	1	0	0
"MYO7B"	1	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	1	1	0	1	0	0	1	1	1	0	0	0	0
"DNAH8"	1	1	0	1	0	0	1	0	0	1	0	1	1	0	1	1	0	0	1	1	0	1	0	1	0	1	0	1	1	1	0	1	0	0	0	1	0	1	1	0	0	1	1
"MUC5B"	0	0	0	0	1	0	0	0	1	1	1	1	0	0	0	1	0	1	0	1	0	0	0	1	0	0	1	0	0	1	1	0	1	1	0	1	1	1	0	1	0	1	1
"DYNC2H1"	0	0	1	1	0	0	0	1	0	1	0	1	1	0	1	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0
"CD163L1"	0	1	1	0	1	1	0	1	0	0	0	0	1	1	0	1	0	1	1	0	1	1	0	1	0	1	0	1	0	0	0	1	0	1	1	1	0	0	1	1	1	0	0
"CUBN"	0	0	0	1	1	0	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	1	0	1	1	1	0	0	1	0	1	0	0	1	0	0	1	1	1	1	1	0
"POLR2A"	0	0	1	0	1	0	0	0	1	1	0	0	0	1	1	0	0	1	0	1	0	1	1	1	0	0	0	1	0	1	0	1	0	0	0	1	1	1	1	1	0	0	0
"SLIT2"	0	1	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	1	0	1	0	1	0	1	1	0	0	1	1	0	0	1	0	1	0	1	1	0	1	0	1	0	0
"RNF43"	1	0	0	0	1	1	1	0	1	1	0	1	0	0	0	1	1	1	0	1	1	0	1	1	1	0	0	1	0	1	0	1	0	1	0	0	1	0	0	1	1	0	0
"FLG"	0	0	0	1	1	1	0	0	1	1	1	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	1	0	1	0	1	1	1	1	1	1	1
"KIF21A"	1	0	1	0	0	1	0	0	0	0	1	0	1	1	1	1	0	0	1	1	1	1	0	0	1	1	0	0	1	0	0	1	1	1	0	0	0	0	1	0	1	0	0
"LRP1B"	0	1	1	0	0	1	0	0	0	1	1	1	0	0	0	0	1	1	0	0	1	0	1	1	1	0	1	1	0	1	0	0	1	0	0	1	1	0	0	1	1	1	1
"CACNA1A"	0	0	1	1	0	1	1	0	0	0	1	0	1	1	1	0	0	1	0	1	0	0	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	0	1	0	0	1	1
"ADAMTS16"	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	1	0	0	1	0	1	0	1	1	0	0	1	0	1	1	0	1	0	1	1
"ATP8B4"	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	1	1	1	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0
"TP53"	1	0	0	1	0	1	0	0	0	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	0	0	0	0	0	1	0	0	1	1	1	0	1	0	0	1	1	1	1
"ADAMTS12"	0	0	1	0	1	1	1	1	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	1	1	1	0	0	1	1	0	0	1	0
"DST"	1	0	0	0	1	1	1	0	0	1	1	1	0	0	1	0	0	1	1	1	0	0	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1	0	0	1	1	0
"SCN10A"	1	1	0	0	0	1	0	0	1	0	0	1	1	1	1	1	1	1	0	1	0	0	1	1	1	0	0	0	1	1	0	1	0	0	0	0	1	1	1	0	0	0	0
"ERBB4"	0	1	1	1	1	1	1	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	0	1	1
"PRKDC"	1	1	1	0	1	1	1	0	1	1	0	0	0	1	0	1	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	1	0	1	1	1	1	1	1	1	0	0
"FLNA"	1	0	0	0	0	0	1	1	1	1	0	1	1	0	1	1	0	0	1	1	0	0	0	0	1	0	0	1	0	1	1	0	1	0	1	0	1	0	0	1	1	1	1
"RANBP2"	1	0	0	1	0	0	1	0	1	1	0	1	1	1	1	0	1	0	1	1	0	1	1	1	1	0	1	0	0	1	1	1	0	0	1	1	0	1	1	1	1	0	1
"PTEN"	1	0	1	0	0	0	1	0	0	1	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	1	1	1	1	0	1	0	1	1	1	1	0	0	0	1
"DNAH5"	1	0	1	1	1	1	1	0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	0	0	1	0	0	1	0	1	1	0	1	1
"RYR3"	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	1	0	0	0	1	1	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	0	1	1	0	0	0	0
"COL3A1"	0	0	1	0	1	0	1	1	0	0	1	1	1	1	1	0	0	0	0	1	0	1	1	0	1	0	0	1	1	1	0	1	1	1	0	1	0	1	0	0	0	1	1
"SCN3A"	1	0	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	0	1	0	1	1	1	1	0	0	0	1	0	1	0	0	1	0	0	1	1	1	1	0	0	0
"SYNE2"	0	1	0	1	1	1	1	1	0	0	1	1	1	0	0	0	1	1	1	1	1	1	0	0	1	1	0	0	1	0	0	1	1	1	1	0	1	1	1	0	1	0	0
"COL4A4"	0	1	1	0	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	0	1	0	1	1	1	0	0	1	0	1	1	1	0	0	1	0	1	0	0	0	0	1	0
"FAT3"	1	1	1	1	0	1	0	1	0	0	0	1	1	0	1	1	0	1	0	0	0	1	0	1	1	1	1	1	0	1	1	1	1	0	1	0	1	1	0	1	1	1	1
"TG"	0	1	1	0	0	0	0	0	1	0	1	1	0	1	0	1	0	0	0	1	0	0	1	0	1	0	1	0	0	0	1	0	1	1	1	1	0	0	1	0	0	0	1
"TENM1"	1	1	1	1	1	0	1	0	1	1	0	1	1	0	1	0	0	1	1	1	0	1	1	1	0	1	0	0	0	0	1	0	1	0	0	1	0	0	1	0	1	1	0
"FBN2"	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	1	0	1	0	1	0	1	0	1	1	0	0	0	1	0	1	0	1	1	0	1	1	1	1	0	1
"ATP2B3"	1	1	1	1	0	0	1	0	0	1	1	0	0	1	0	1	0	1	1	0	1	0	1	1	1	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0
"COL22A1"	0	0	1	1	0	1	1	0	1	0	1	1	1	0	0	0	1	1	1	0	1	0	0	1	0	0	0	0	1	1	0	1	0	1	1	0	1	0	1	0	0	0	0
"MYH9"	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	1	0	1	0	1	0	0	1	0	1	1	0	1
"UNC13C"	0	1	1	0	0	1	0	0	1	1	1	0	1	0	0	1	1	0	1	1	0	1	0	0	0	1	1	1	0	1	1	1	0	1	1	0	1	0	0	0	0	0	0
"EPHA3"	0	0	1	1	0	0	1	1	0	1	0	0	1	0	0	1	1	0	1	1	1	0	1	0	0	0	1	1	1	1	1	1	1	0	0	1	1	1	1	0	0	0	1
"AHNAK2"	0	0	0	1	0	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	1	1	1	0	1	0	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	1	1
"CACNA1C"	0	0	1	0	1	0	1	0	1	0	1	1	1	1	0	1	0	0	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	1	0
"LYST"	0	1	1	0	1	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	0	1	0	0	1	0	1	0	0	1	0	1	1	1	0	0	1	1
"CSMD3"	1	1	1	1	1	0	0	0	1	0	0	1	0	1	0	1	0	1	1	1	0	1	1	0	0	0	1	0	0	1	0	1	1	1	0	0	0	0	0	1	0	0	1
"KMT2A"	0	0	0	0	1	1	0	1	1	0	1	1	0	1	1	1	1	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0	1	0	1	1	1	1	0	1	1	1	1
"SDK1"	1	0	1	1	0	0	1	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	0
"MYO3A"	1	0	0	1	0	0	1	1	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	1	0	0	0	1	0	1	1	0	0
"RPL22"	0	1	0	1	1	0	1	1	1	1	0	1	0	1	1	0	1	0	0	1	0	0	0	0	1	0	1	1	1	1	0	1	1	0	0	0	1	0	1	0	0	0	0
"MYCBP2"	1	1	0	0	1	1	0	1	0	1	0	1	0	0	1	1	1	0	1	1	1	0	0	0	0	0	1	1	1	1	0	1	0	1	0	1	0	0	0	0	1	1	1
"MAP3K1"	0	0	1	0	1	1	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	1	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	1	1	0
"SCN11A"	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	1	1	0	1	1	0	0	1	0	1	0	0	0	0	1	0	1	1	1	1	1	0	1	1	1
"AHNAK"	0	1	1	0	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	1	1	1	1	0	1	0	0	0	1	0	0	1	0
"MYH7"	1	0	0	0	0	0	1	0	1	0	0	1	1	0	0	1	1	1	1	1	0	0	1	1	1	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	1	1	0
"PTPRT"	1	1	1	1	0	1	1	0	0	0	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1
"MYH10"	1	1	0	1	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0
"RYR2"	1	1	0	0	1	0	1	0	1	1	1	0	0	0	0	1	0	0	0	1	1	1	1	0	1	0	0	1	1	0	0	1	1	0	0	1	0	1	0	1	1	0	0
"MYH2"	1	0	1	0	1	0	1	0	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	1	0	0	1	1	1	0	1	1	0	0	0	0	1	0	1	0
"UBR5"	0	0	1	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	1
"ABCA13"	1	1	1	1	0	1	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	0	1	0	1	1	1	0	1	0	0	0	1	0	1	1	1	1	0	1	0
"COL6A3"	1	0	1	0	1	1	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	1	1	1	1	1	0	1	1	0	1	1	0	0	0	1	1	0	1
"DNAH11"	0	0	0	0	0	1	0	1	0	1	1	0	0	0	1	1	1	1	1	1	1	0	0	1	0	1	0	0	0	0	1	1	0	1	0	1	0	0	1	1	0	1	1
"LPA"	1	0	1	1	0	0	0	1	1	0	0	0	0	1	1	0	0	1	1	1	1	1	0	1	1	0	1	0	1	1	1	1	0	1	0	1	1	0	0	1	0	1	0
"HERC2"	0	0	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	1	0	0	1	0	1	0
"IDH1"	0	0	1	0	1	0	1	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	1	0	0	1	1	0	1	1	1	0	1	0	0	0	0	0	1	0	0	0	1
