""	"OVK.18"	"OVTOKO"	"OC.314"	"OV.17R"	"Hey"	"IGROV.1"	"EFO.21"	"TYK.nu"	"EFO.27"	"TOV.21G"	"OAW.28"	"OVCA433"	"OV.56"	"OVCAR.8"	"KURAMOCHI"	"FU.OV.1"	"JHOS.4"	"PA.1"	"OV.7"	"A2780"	"KGN"	"ES.2"	"JHOS.2"	"OVISE"	"OVKATE"	"PEO1"	"Caov.3"	"SK.OV.3"	"JHOS.3"	"OVMIU"	"OVCA420"	"RMG.I"	"SW626"	"Caov.4"	"RKN"	"OAW.42"	"DOV13"	"OV.90"	"UWB1_289"	"OVCAR.5"	"OVCAR.3"	"TOV.112D"	"OVCAR.4"
"LYST"	0	1	0	0	1	1	0	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0
"CSMD3"	0	0	0	1	0	1	0	1	1	1	1	0	1	0	0	1	0	0	1	1	0	0	0	0	0	1	1	1	0	1	1	0	0	1	1	1	0	1	1	0	1	0	0
"KMT2A"	0	1	0	1	0	1	1	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0	1	1	1	1	1	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0
"SDK1"	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	1	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0
"MYO3A"	1	0	0	0	0	0	1	1	0	0	1	1	1	1	1	0	0	0	0	1	1	1	0	0	1	1	0	1	0	1	1	1	0	0	0	0	0	1	1	1	1	0	0
"RPL22"	0	0	1	0	1	0	0	1	0	1	1	1	0	0	0	1	0	0	0	0	1	1	0	0	0	1	1	1	1	0	0	1	1	1	0	1	0	0	0	0	0	1	1
"MYCBP2"	0	0	0	1	1	0	0	1	1	1	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1
"MAP3K1"	0	0	0	1	1	0	1	0	1	0	0	0	1	0	0	1	1	0	1	0	0	0	1	1	1	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	1	1	0
"SCN11A"	0	1	1	0	0	1	1	0	0	1	1	1	0	1	1	1	1	1	0	1	1	0	1	0	0	0	1	0	1	1	0	1	1	0	1	0	1	0	1	0	0	0	0
"AHNAK"	1	1	1	1	1	0	1	1	1	0	0	1	1	1	0	1	1	0	1	1	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	1	1	0	1	1
"MYH7"	1	0	0	0	1	0	1	0	0	1	0	0	1	0	1	1	1	0	0	1	0	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	0
"PTPRT"	1	0	0	1	1	0	0	1	1	1	1	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	1	1	0	1	1	0	1	0	1	1	1	1	0	1	1	1	1
"MYH10"	0	0	1	0	0	0	1	1	1	1	0	0	0	1	1	0	1	1	0	1	1	1	0	1	0	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	0	1	0
"RYR2"	1	1	1	1	1	1	1	0	0	0	0	1	0	0	0	0	1	0	1	1	1	1	1	0	1	1	1	0	1	1	0	0	0	1	0	1	1	1	0	1	1	0	1
"MYH2"	0	1	0	0	0	1	1	1	0	0	1	1	0	0	0	1	1	0	1	0	1	1	1	0	1	1	0	1	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1
"UBR5"	1	0	1	0	1	0	1	1	1	1	0	0	1	0	1	0	1	0	0	1	0	1	0	0	1	1	0	1	0	1	0	0	0	1	1	0	1	0	0	0	1	1	0
"ABCA13"	1	1	0	0	0	1	0	0	0	1	0	0	1	1	0	1	0	0	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	1	0
"COL6A3"	0	0	0	1	1	1	0	0	1	1	1	0	1	1	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	1	1	1
"DNAH11"	1	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	1	1	0	1	0	1	1	0	0	1	0	0	0	1	0	0	0	1	0	1	0	1	0	0
"LPA"	1	1	0	0	1	1	1	1	1	1	0	1	0	1	1	1	0	1	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	0	0
"HERC2"	1	0	1	1	1	1	0	0	1	0	0	1	1	1	0	0	0	1	1	1	1	1	0	1	1	1	0	1	1	1	0	0	0	1	1	0	1	1	0	1	0	0	1
"IDH1"	1	1	1	0	1	0	1	1	0	1	0	1	1	1	0	1	0	1	1	1	0	1	1	0	0	1	1	1	1	1	0	0	1	0	1	0	0	1	0	1	1	1	1
