identifier	summed_citations	binned_citations
ASH-3	40	<100
HuO-3N1	40	<100
EPLC-272H	41	<100
ESO-26	41	<100
RVH-421	43	<100
SNU-61	43	<100
A-388	44	<100
BONNA-12	45	<100
H-EMC-SS	45	<100
OACM5.1 C	45	<100
CAL-12T	46	<100
KYAE-1	46	<100
NCI-H2029	46	<100
SNU-175	46	<100
UMC-11	46	<100
A4/Fukuda	48	<100
HTC-C3	48	<100
Lu-99A	48	<100
Hs 633.T	49	<100
JHOS-4	49	<100
KO52	49	<100
KYSE-50	49	<100
OV56	49	<100
SIG-M5	49	<100
COLO 668	50	<100
CAL-54	51	<100
ECC10	51	<100
KOSC-2	51	<100
G-mel	52	<100
LCLC-97TM1	52	<100
SNU-1040	53	<100
COLO 800	54	<100
IST-Mes1	54	<100
MN-60	54	<100
NCI-H2595	54	<100
OCUB-M	54	<100
A3/Kawakami	55	<100
NCI-H2444	55	<100
TGBC11TKB	55	<100
COR-L105	56	<100
DSH1	57	<100
EW-3	57	<100
JHH-1	57	<100
MHH-CALL-2	57	<100
NCI-H2172	57	<100
VA-ES-BJ	57	<100
NH-12	58	<100
NCI-H1836	59	<100
OV7	60	<100
SW156	61	<100
U-CH2	61	<100
NCI-H847	62	<100
TGBC1TKB	62	<100
ES7	63	<100
NCI-H1623	64	<100
PE/CA-PJ15	64	<100
ES6	65	<100
MCC26	66	<100
NCI-H2342	66	<100
A101D	67	<100
KY821	67	<100
NCI-H1304	67	<100
OVKATE	67	<100
SK-PN-DW	67	<100
MOG-G-UVW	68	<100
COLO 741	69	<100
KYSE-220	69	<100
SF539	69	<100
FU-OV-1	70	<100
ALL-PO	71	<100
CGTH-W-1	71	<100
COLO 824	71	<100
NCI-H2291	71	<100
SNU-81	71	<100
MOLM-16	72	<100
NCI-H2405	72	<100
COLO 680N	73	<100
DOK	73	<100
D-245MG	75	<100
MZ-MEL-7	75	<100
NCI-H2110	75	<100
SNU-C2B	75	<100
NCI-H2196	76	<100
SJNB-5	76	<100
ES4	77	<100
COR-L88	78	<100
Lu-165	78	<100
NU-DUL-1	78	<100
JHU-022	79	<100
MHH-CALL-4	79	<100
MHH-NB-11	79	<100
JHH-2	80	<100
MPP 89	80	<100
NCI-H2085	81	<100
SW684	81	<100
JHOS-2	82	<100
P30/OHK	82	<100
COLO 678	83	<100
CL-34	84	<100
BL-70	85	<100
CAL-85-1	85	<100
NCI-H1436	85	<100
NCI-H1869	85	<100
NCI-H1876	85	<100
NCI-H835	85	<100
BFTC-909	86	<100
GP5d	86	<100
LXF 289	86	<100
NCI-H2081	86	<100
NCI-H2461	86	<100
HCE-4	87	<100
P31/FUJ	87	<100
CAL-29	88	<100
ES3	88	<100
MHH-ES-1	88	<100
OCI-M1	88	<100
HuH-6 Clone 5	89	<100
HuP-T4	89	<100
MCC13	89	<100
ROS-50	89	<100
YKG-1	89	<100
MFE-280	90	<100
MRK-nu-1	91	<100
NCI-H1694	91	<100
NKM-1	92	<100
OSC-20	92	<100
YAPC	93	<100
HDQ-P1	95	<100
DK-MG	96	<100
SJNB-6	96	<100
NCI-H1915	97	<100
NCI-H2227	97	<100
42-MG-BA	98	<100
ESS-1	98	<100
CAS-1	100	<100
RD	101	<1000
SJNB-10	101	<1000
EHEB	102	<1000
IPC-298	102	<1000
DoTc2 4510	103	<1000
PWR-1E	103	<1000
KP-N-RT-BM-1	104	<1000
EW-1	105	<1000
SJNB-12	105	<1000
NCI-H748	106	<1000
OAW28	106	<1000
SNU-407	107	<1000
NCI-H2141	108	<1000
COLO 679	109	<1000
AM-38	110	<1000
Fu97	110	<1000
HCC366	110	<1000
IM95	110	<1000
JHU-011	110	<1000
ChaGo-K-1	111	<1000
JURL-MK1	112	<1000
RERF-LC-KJ	112	<1000
NCI-H1651	113	<1000
8-MG-BA	114	<1000
Karpas-231	114	<1000
KNS-62	114	<1000
VMRC-RCW	114	<1000
CAL-148	115	<1000
QIMR-WIL	115	<1000
NCI-H1693	116	<1000
201T	117	<1000
CCK-81	117	<1000
EC-GI-10	118	<1000
LN-405	119	<1000
HCC2157	120	<1000
HuP-T3	120	<1000
OVK18	120	<1000
SK-MG-1	122	<1000
Lu-139	125	<1000
NOS-1 [Human osteosarcoma]	128	<1000
SJNB-7	131	<1000
ATN-1	132	<1000
NEC8	134	<1000
HT-55	135	<1000
VL51	135	<1000
G-402	136	<1000
SNG-M	136	<1000
JHH-4	137	<1000
Panc 02.03	137	<1000
KYSE-270	138	<1000
EW-7	139	<1000
HCC-56	139	<1000
CTV-1	140	<1000
CML-T1	141	<1000
JVM-3	143	<1000
SBC-1	143	<1000
NCI-H1417	145	<1000
EFM-192A	147	<1000
NCI-H1770	148	<1000
SUP-HD1	148	<1000
MFE-296	150	<1000
CAL-120	152	<1000
NCI-H2023	152	<1000
KP-3	154	<1000
LS123	154	<1000
GB-1	156	<1000
SK-MM-2	156	<1000
GDM-1	157	<1000
NCI-H810	157	<1000
Karpas-620	159	<1000
ES8	160	<1000
IHH-4	160	<1000
Rh1	161	<1000
NCI-H1568	162	<1000
NCI-H630	162	<1000
NCI-H1755	163	<1000
LCLC-103H	164	<1000
NCI-H1092	164	<1000
CL-40	166	<1000
CAL-72	170	<1000
MOLT-13	170	<1000
HAL-01	171	<1000
NCI-H513	172	<1000
NCI-H1734	173	<1000
OVTOKO	174	<1000
KYM-1	175	<1000
ML-1 [Human thyroid carcinoma]	177	<1000
JHH-6	178	<1000
MOLP-8	178	<1000
UPCI-SCC-090	178	<1000
WSU-NHL	178	<1000
OCUM-1	179	<1000
SW1783	179	<1000
639V	180	<1000
KP-2	182	<1000
Lu-135	182	<1000
GA-10	184	<1000
MC116	184	<1000
NCI-H650	184	<1000
RPMI-2650	185	<1000
CADO-ES1	187	<1000
EGI-1	187	<1000
HuO9	190	<1000
NCI-H1563	190	<1000
SK-GT-4	195	<1000
SW1271	195	<1000
TE-15	195	<1000
SF268	196	<1000
CHP-126	197	<1000
TE-6	198	<1000
EFO-21	201	<1000
SKG-IIIa	201	<1000
VM-CUB-1	201	<1000
Mel Ho	203	<1000
NCI-H740	203	<1000
SU-DHL-16	203	<1000
NCI-H747	204	<1000
MC/CAR	206	<1000
Farage	209	<1000
OCI-AML-5	209	<1000
JHH-7	211	<1000
S-117	211	<1000
SNU-C1	211	<1000
HCC2218	212	<1000
SK-MEL-31	212	<1000
VMRC-LCD	212	<1000
EFO-27	214	<1000
HCC1599	215	<1000
IGR-1	215	<1000
GCIY	217	<1000
PF-382	218	<1000
SK-NEP-1	220	<1000
UWB1.289	220	<1000
CAL-33	222	<1000
DJM-1	222	<1000
KU-19-19	222	<1000
NCI-H1435	226	<1000
NCI-H290	226	<1000
Panc 03.27	227	<1000
SW1710	227	<1000
OVISE	228	<1000
Panc 08.13	228	<1000
MDA-MB-330	229	<1000
NCI-H1838	229	<1000
BHT-101	230	<1000
NCI-H1581	230	<1000
WM1552C	232	<1000
NCI-H1573	233	<1000
NCI-H2373	234	<1000
SW1088	234	<1000
Caov-4	237	<1000
Kelly	237	<1000
KNS-42	237	<1000
RCH-ACV	237	<1000
RERF-LC-MS	237	<1000
ST486	237	<1000
HD-MY-Z	239	<1000
KYSE-520	240	<1000
TYK-nu	240	<1000
KP-4	242	<1000
CL-11	243	<1000
PaTu 8902	244	<1000
WM278	244	<1000
CaR-1	246	<1000
PFSK-1	246	<1000
SR	248	<1000
LS411N	250	<1000
Lu-134-A	250	<1000
SCC-3	250	<1000
HO-1-N-1	253	<1000
KOPN-8	254	<1000
LA-N-6	255	<1000
Karpas-1106P	256	<1000
NCI-H1781	256	<1000
TE-12	258	<1000
A-253	261	<1000
GaMG	267	<1000
MZ-MEL-2	268	<1000
BFTC-905	269	<1000
SiSo	270	<1000
NCI-H1048	271	<1000
NCI-H2171	272	<1000
OSC-19	272	<1000
NCI-H1648	273	<1000
SW1463	276	<1000
SK-UT-1	284	<1000
GI-ME-N	285	<1000
NCI-H2347	287	<1000
LC-2/ad	288	<1000
HuTu 80	292	<1000
OE21	292	<1000
Hs 683	293	<1000
TE-4	295	<1000
TE-9	295	<1000
HO-1-u-1	297	<1000
SHP-77	297	<1000
ONS-76	299	<1000
PL-21	299	<1000
HCC202	303	<1000
EFM-19	304	<1000
NCI-H720	306	<1000
NCI-H196	307	<1000
NCI-H841	307	<1000
AMO1	310	<1000
Rh41	310	<1000
FLO-1	311	<1000
SK-MEL-30	311	<1000
SUP-M2	311	<1000
MFM-223	313	<1000
NCI-H211	313	<1000
EB3 [Human Burkitt lymphoma]	314	<1000
NCI-H647	314	<1000
TE-5	314	<1000
WSU-DLCL2	314	<1000
MOG-G-CCM	316	<1000
SNB-75	316	<1000
LS513	317	<1000
NCI-H1688	317	<1000
DAN-G	319	<1000
NCI-H1944	320	<1000
ALL-SIL	323	<1000
JSC-1	330	<1000
647V	332	<1000
MOLT-16	334	<1000
SNU-C5	334	<1000
DMS 273	335	<1000
DOV13	336	<1000
KE-37	341	<1000
SF126	341	<1000
NCI-H2126	343	<1000
Panc 10.05	343	<1000
PL4	344	<1000
SU-DHL-10	344	<1000
SK-MEL-24	345	<1000
UACC-893	349	<1000
KP-1N	350	<1000
DMS 79	351	<1000
Loucy	356	<1000
NCI-H524	362	<1000
8305C	363	<1000
LS1034	366	<1000
MS751	366	<1000
G-401	368	<1000
SW1417	370	<1000
COLO 829	374	<1000
CAL-62	375	<1000
NCI-H2030	376	<1000
HCC33	378	<1000
ARH-77	380	<1000
RC-K8	381	<1000
TE-11	381	<1000
Hep-G2/C3A	382	<1000
SU-DHL-5	387	<1000
HCC44	388	<1000
NOMO-1	390	<1000
SU-DHL-8	391	<1000
U-698-M	391	<1000
HCC1419	394	<1000
BE-13	395	<1000
Evsa-T	396	<1000
SNU-182	396	<1000
Lu-65	398	<1000
SH-4	401	<1000
HCC1500	402	<1000
SNU-423	405	<1000
Rh18	406	<1000
DMS 53	409	<1000
HT115	409	<1000
SW900	410	<1000
Detroit 562	411	<1000
COLO 320HSR	414	<1000
KYSE-140	416	<1000
SK-CO-1	424	<1000
CW-2	428	<1000
G-292 clone A141B1	428	<1000
CS-1 [Human chondrosarcoma]	433	<1000
QGP-1	433	<1000
HCC78	437	<1000
NB69	444	<1000
KYSE-180	445	<1000
RPMI-8866	447	<1000
NCI-H1666	448	<1000
HCC1428	450	<1000
SK-MEL-3	454	<1000
HCC1187	461	<1000
SK-N-FI	461	<1000
SW982	468	<1000
HCC1395	470	<1000
A-704	475	<1000
HuH-1	478	<1000
SW756	484	<1000
SBC-5	485	<1000
HCC1569	486	<1000
WRO	487	<1000
SNU-387	493	<1000
CHL-1	494	<1000
451Lu	495	<1000
CHP-134	496	<1000
SW626	496	<1000
Set2	499	<1000
NK-92MI	505	<1000
NCI-H1155	506	<1000
NCI-H1963	506	<1000
DND-41	509	<1000
JVM-2	516	<1000
HSC-39	517	<1000
OVCA420	520	<1000
SKM-1	521	<1000
CCF-STTG1	522	<1000
MDA-MB-415	528	<1000
TE-10	539	<1000
KYSE-410	540	<1000
SW872	541	<1000
UACC-812	544	<1000
LK-2	545	<1000
NCI-H2087	549	<1000
JM-1	551	<1000
NCI-H1105	551	<1000
SNU-475	552	<1000
H4	558	<1000
NCI-H508	559	<1000
IMR-5	560	<1000
NCI-H510A	565	<1000
L-363	577	<1000
Panc 04.03	581	<1000
HSC-4	582	<1000
HT-1197	586	<1000
KYSE-70	594	<1000
SK-N-BE(2)-M17	595	<1000
CHP-212	597	<1000
DMS 114	600	<1000
COR-L23	602	<1000
697	611	<1000
NCI-H660	611	<1000
PaTu 8988t	613	<1000
OAW42	617	<1000
NCI-H1792	623	<1000
SW780	628	<1000
RPMI-7951	632	<1000
TE-8	633	<1000
NCC-IT	634	<1000
NCI-H250	637	<1000
SW403	641	<1000
OE19	648	<1000
KYSE-450	651	<1000
NCI-H2452	653	<1000
PSN1	655	<1000
SNU-398	656	<1000
NCI-H2052	661	<1000
OCI-Ly19	663	<1000
SK-N-DZ	665	<1000
NCI-H2170	690	<1000
DU4475	691	<1000
DiFi	692	<1000
Karpas-422	693	<1000
Hs 746.T	694	<1000
NCI-H3122	695	<1000
Ca9-22	698	<1000
RMG-I	698	<1000
SK-MEL-1	698	<1000
BALL-1	703	<1000
NUGC-4	703	<1000
NCI-H1793	709	<1000
NCI-H226	712	<1000
NCI-H378	713	<1000
PEO1	723	<1000
SBC-3	723	<1000
NCI-H2122	726	<1000
SCC-15	727	<1000
OE33	733	<1000
NCI-H128	743	<1000
BT-483	750	<1000
EB2	757	<1000
CA46	763	<1000
HCC1143	764	<1000
A-204	777	<1000
JJN-3	781	<1000
OCI-Ly7	782	<1000
LAMA-84	785	<1000
HCC15	793	<1000
NCI-H1437	794	<1000
SU.86.86	797	<1000
HT-144	805	<1000
L-1236	812	<1000
SUP-B15	818	<1000
TOV-112D	823	<1000
ES1	848	<1000
HDLM-2	850	<1000
SNU-5	854	<1000
IGR-37	855	<1000
DoHH2	863	<1000
WM793	869	<1000
SF295	871	<1000
NCI-H64	885	<1000
OV-90	885	<1000
NCI-H716	892	<1000
KCL-22	894	<1000
Granta-519	907	<1000
NCI-H838	919	<1000
A-673	920	<1000
L-540	921	<1000
MDA-MB-175-VII	921	<1000
M059J	922	<1000
NCI-H1355	928	<1000
TC-71	928	<1000
HPAC	934	<1000
RPMI-8402	937	<1000
KYSE-510	938	<1000
IM-9	946	<1000
NUGC-3	948	<1000
SU-DHL-1	961	<1000
EBC-1	964	<1000
SW837	969	<1000
NCI-H526	970	<1000
TOV-21G	971	<1000
KMS-11	986	<1000
SW948	994	<1000
TMK-1	996	<1000
CAL-51	998	<1000
SK-LU-1	1004	<10000
8505C	1010	<10000
LIM1215	1020	<10000
HCC70	1025	<10000
NCI-H2228	1025	<10000
NB1	1042	<10000
NCI-H3255	1042	<10000
AU565	1046	<10000
WM115	1047	<10000
ME-1 [Human leukemia]	1053	<10000
BL-41	1064	<10000
769-P	1066	<10000
SW1573	1068	<10000
SNU-449	1075	<10000
LP-1	1077	<10000
TALL-1 [Human adult T-ALL]	1077	<10000
EoL-1	1085	<10000
KMS-12-BM	1086	<10000
OS-RC-2	1097	<10000
SUP-T1	1117	<10000
KATOIII	1120	<10000
LC-1/sq	1134	<10000
EM-2	1141	<10000
SK-ES-1	1144	<10000
WM35	1159	<10000
SJSA-1	1161	<10000
SNU-16	1167	<10000
KM-H2	1168	<10000
EKVX	1170	<10000
HOP-92	1172	<10000
Karpas-45	1178	<10000
SW13	1182	<10000
NCI-H727	1195	<10000
SCaBER	1200	<10000
NCI-H1703	1204	<10000
OVCA433	1204	<10000
ZR-75-30	1217	<10000
SCC-9	1230	<10000
RXF 393L	1233	<10000
HCC38	1245	<10000
Mel JuSo	1255	<10000
NCI-H345	1259	<10000
UACC-257	1259	<10000
ABC-1	1260	<10000
DG-75	1269	<10000
DBTRG-05MG	1274	<10000
Kuramochi	1290	<10000
NCI-H146	1300	<10000
AN3-CA	1305	<10000
HSC-3	1305	<10000
NCI-H661	1312	<10000
HuCC-T1	1333	<10000
NCI-H28	1334	<10000
FaDu	1340	<10000
HCC1806	1342	<10000
LNCaP clone FGC	1344	<10000
BC-3	1345	<10000
MEG-01	1348	<10000
RS4;11	1348	<10000
NCI-H596	1357	<10000
HCC2998	1379	<10000
U-118MG	1379	<10000
C-4-I	1382	<10000
PC-14	1392	<10000
BV-173	1394	<10000
OCI-AML-3	1398	<10000
UO-31	1402	<10000
Ku812	1404	<10000
FTC-133	1406	<10000
MKN7	1407	<10000
TCCSUP	1407	<10000
C32 [Human melanoma]	1422	<10000
A-431	1431	<10000
Hs 766T	1431	<10000
SN12C	1437	<10000
HEC-1	1463	<10000
Rh30	1464	<10000
C2BBe1	1466	<10000
KYSE-150	1467	<10000
SCC-4	1468	<10000
TK-10	1475	<10000
SCC-25	1500	<10000
A-427	1502	<10000
NCI-H187	1526	<10000
HOP-62	1538	<10000
HSC-2	1595	<10000
Karpas-299	1601	<10000
MKN1	1620	<10000
SNU-1	1622	<10000
LOX-IMVI	1625	<10000
SU-DHL-6	1629	<10000
D283 Med	1643	<10000
CAL-27	1683	<10000
B-CPAP	1707	<10000
NCI-H209	1708	<10000
HT-1376	1720	<10000
NT2-D1	1725	<10000
RT-112	1735	<10000
MS-1 [Human lung carcinoma]	1747	<10000
CRO-AP2	1757	<10000
HCC1954	1764	<10000
TE-1	1774	<10000
OPM-2	1786	<10000
MOLM-13	1807	<10000
Mono-Mac-6	1865	<10000
LN-18	1886	<10000
NCI-H322M	1896	<10000
HT-3	1900	<10000
OVCAR-4	1973	<10000
L-428	1982	<10000
BPH-1	2004	<10000
UACC-62	2026	<10000
JeKo-1	2039	<10000
SK-N-AS	2059	<10000
SUIT-2	2096	<10000
Calu-6	2119	<10000
KM12	2146	<10000
G-361	2337	<10000
Daoy	2356	<10000
OCI-AML-2	2447	<10000
P32/ISH	2447	<10000
HGC-27	2464	<10000
Sc-1	2525	<10000
JIMT-1	2530	<10000
SW1116	2538	<10000
ME-180	2560	<10000
Kasumi-1	2576	<10000
SK-MEL-5	2626	<10000
SU-DHL-4	2719	<10000
MeWo	2742	<10000
ES-2	2743	<10000
J82	2747	<10000
CAMA-1	2777	<10000
VCaP	2778	<10000
BC-1	2830	<10000
NCI-H82	2864	<10000
OVCAR-5	2898	<10000
A2058	2902	<10000
SW48	2911	<10000
Capan-2	2918	<10000
LS180	2932	<10000
MDA-MB-361	2960	<10000
MSTO-211H	2975	<10000
RL95-2	3010	<10000
SW1990	3049	<10000
NCI-H1650	3075	<10000
UM-UC-3	3077	<10000
OVCAR-8	3078	<10000
MDA-MB-436	3104	<10000
HCC1937	3139	<10000
Caov-3	3233	<10000
MV4-11	3239	<10000
NCI-H520	3287	<10000
HCC827	3302	<10000
Namalwa	3318	<10000
PA-1	3370	<10000
RT-4	3430	<10000
NCI-H929	3468	<10000
LN-229	3474	<10000
Calu-3	3498	<10000
NCI-H441	3508	<10000
NCI-H446	3529	<10000
MDA-MB-157	3787	<10000
Jiyoye	3817	<10000
SK-MES-1	4024	<10000
Caki-1	4191	<10000
786-O	4201	<10000
MM1.S	4207	<10000
NALM-6	4235	<10000
NCI-H1993	4300	<10000
Capan-1	4368	<10000
CFPAC-1	4368	<10000
NCI-H522	4601	<10000
JEG-3	4642	<10000
A-498	4860	<10000
ACHN	5030	<10000
NCI-H358	5071	<10000
HPAF-II	5102	<10000
MKN28	5290	<10000
NCI-N87	5473	<10000
C-33 A	5499	<10000
NCI-H292	5554	<10000
IGROV-1	5763	<10000
M14	5769	<10000
HT-1080	5813	<10000
NCI-H2009	5833	<10000
Onda 10	5911	<10000
CESS	6030	<10000
Onda 11	6286	<10000
A-172	6563	<10000
T84	6835	<10000
BT-549	6960	<10000
AsPC-1	6997	<10000
SK-MEL-2	7089	<10000
MDA-MB-453	7131	<10000
Ca Ski	7136	<10000
NCI-H1975	7180	<10000
22Rv1	7200	<10000
BT-20	7210	<10000
NCI-H69	7210	<10000
U-251MG	7570	<10000
U266B1	7620	<10000
HC-1	7816	<10000
ML-2	7816	<10000
T98G	8548	<10000
SK-N-SH	8834	<10000
NB4	9250	<10000
COLO 205	9436	<10000
Daudi	9693	<10000
P12-Ichikawa	9784	<10000
SiHa	9790	<10000
SK-MEL-28	9914	<10000
HCT 15	9980	<10000
Hs 578T	10470	>10000
NCI-H23	10948	>10000
MKN45	11010	>10000
KG-1	11170	>10000
BxPC-3	11656	>10000
SK-HEP-1	11767	>10000
BT-474	13320	>10000
MG-63	13494	>10000
LoVo	14200	>10000
MOLT-4	15181	>10000
OVCAR-3	15362	>10000
A-375	15593	>10000
A2780	15745	>10000
U2OS	15816	>10000
Raji	16207	>10000
SW620	16360	>10000
T24	17190	>10000
RPMI-8226	18278	>10000
Hep 3B2.1-7	18308	>10000
NCI-H1299	18893	>10000
SaOS-2	19718	>10000
MDA-MB-468	20242	>10000
MIA PaCa-2	20736	>10000
CCRF-CEM	21098	>10000
THP-1	21482	>10000
Huh-7	25502	>10000
Jurkat	26689	>10000
SK-OV-3	27021	>10000
NCI-H460	27800	>10000
T-47D	32857	>10000
DU145	35511	>10000
HeLa	38034	>10000
HCT 116	41215	>10000
U-87MG ATCC	46088	>10000
K-562	48561	>10000
HT-29	56000	>10000
PC-3	69900	>10000
HL-60	71200	>10000
A-549	81346	>10000
MDA-MB-231	93359	>10000
MCF-7	252159	>10000
5637	NA	NA
ACN	NA	NA
AGS	NA	NA
Becker	NA	NA
BEN	NA	NA
BHY	NA	NA
CHSA0011	NA	NA
CHSA0108	NA	NA
CHSA8926	NA	NA
CMK	NA	NA
COR-L321	NA	NA
CP67-MEL	NA	NA
DB	NA	NA
DEL	NA	NA
EJM	NA	NA
EMC-BAC-1	NA	NA
EN	NA	NA
GAK	NA	NA
GCT	NA	NA
GEO	NA	NA
GOTO	NA	NA
HEY	NA	NA
HLE	NA	NA
HN	NA	NA
HOS	NA	NA
HT	NA	NA
JAR	NA	NA
K2 [Human melanoma]	NA	NA
K5	NA	NA
KGN	NA	NA
KLE	NA	NA
KON	NA	NA
MES-SA	NA	NA
Mo	NA	NA
MY-M12	NA	NA
NY	NA	NA
PC-3_[JPC-3]	NA	NA
Reh	NA	NA
RKN	NA	NA
RKO	NA	NA
RL	NA	NA
Sarc9371	NA	NA
SAS	NA	NA
SAT [Human HNSCC]	NA	NA
SCH	NA	NA
SiMa	NA	NA
SKN	NA	NA
T.T	NA	NA
TK [Human B-cell lymphoma]	NA	NA
TT	NA	NA
VAL	NA	NA
YT	NA	NA
