SW837	SW1463	RCM-1	CaR-1	SNU-283	SNU-61
C2CD4D	0	0	0	0.667	0.5	0.667
LOC100132111	0	0	0	0.667	0.5	0.667
THEM5	0	0	0	0.667	0.5	0.667
THEM4	0	0	0	0.667	0.5	0.667
S100A10	0	0	0	0.667	0.5	0.667
S100A11	0	0	0	0.667	0.5	0.667
TCHHL1	0	0	0	0.667	0.5	0.667
TCHH	0	0	0	0.667	0.5	0.667
RPTN	0	0	0	0.667	0.5	0.667
FLG	0	0	0	0.667	0.5	0.667
CD48	0	0	0	0.667	0	0.667
LY9	0	0	0	0.667	0	0.667
CD244	0	0	0	0.667	0	0.667
ITLN1	0	0	0	0.667	0	0.667
ITLN2	0	0	0	0.667	0	0.667
ARHGAP30	0	0	0	0.667	0	0.667
F11R	0	0	0	0.667	0	0.667
TSTD1	0	0	0	0.667	0	0.667
USF1	0	0	0	0.667	0	0.667
PVRL4	0	0	0	0.667	0	0.667
DEDD	0	0	0	0.667	0	0.667
KLHDC9	0	0	0	0.667	0	0.667
NIT1	0	0	0	0.667	0	0.667
PFDN2	0	0	0	0.667	0	0.667
B4GALT3	0	0	0	0.667	0	0.667
PPOX	0	0	0	0.667	0	0.667
UFC1	0	0	0	0.667	0	0.667
USP21	0	0	0	0.667	0	0.667
ADAMTS4	0	0	0	0.667	0	0.667
NDUFS2	0	0	0	0.667	0	0.667
FCER1G	0	0	0	0.667	0	0.667
APOA2	0	0	0	0.667	0	0.667
NR1I3	0	0	0	0.667	0	0.667
TOMM40L	0	0	0	0.667	0	0.667
PCP4L1	0	0	0	0.667	0	0.667
MPZ	0	0	0	0.667	0	0.667
SDHC	0	0	0	0.667	0	0.667
C1orf192	0	0	0	0.667	0	0.667
ATF6	0	0	0	0.667	0	0.667
NOS1AP	0	0	0	0.667	0	0.667
ATP2B4	0	0	0	0	0.5	0.667
LAX1	0	0	0	0	0.5	0.667
ZBED6	0	0	0	0	0.5	0.667
ZC3H11A	0	0	0	0	0.5	0.667
SNRPE	0	0	0	0	0.5	0.667
LINC00303	0	0	0	0	0.5	0.667
SOX13	0	0	0	0	0.5	0.667
ETNK2	0	0	0	0	0.5	0.667
REN	0	0	0	0	0.5	0.667
KISS1	0	0	0	0	0.5	0.667
GOLT1A	0	0	0	0	0.5	0.667
PLEKHA6	0	0	0	0	0.5	0.667
PPP1R15B	0	0	0	0	0.5	0.667
PIK3C2B	0	0	0	0	0.5	0.667
MDM4	0	0	0	0	0.5	0.667
LRRN2	0	0	0	0	0.5	0.667
NFASC	0	0	0	0	0.5	0.667
RSRC1	0	0.667	1.321	0	0	0.667
MFSD1	0	0.667	1.321	0	0	0.667
IQCJ-SCHIP1	0	0.667	1.321	0	0	0.667
IQCJ	0	0.667	1.321	0	0	0.667
SCHIP1	0	0.667	1.321	0	0	0.667
MIR3919	0	0.667	1.321	0	0	0.667
IL12A	0	0.667	1.321	0	0	0.667
C3orf80	0	0.667	1.321	0	0	0.667
IFT80	0	0.667	1.321	0	0	0.667
SMC4	0	0.667	1.321	0	0	0.667
MIR15B	0	0.667	1.321	0	0	0.667
MIR16-2	0	0.667	1.321	0	0	0.667
TRIM59	0	0.667	1.321	0	0	0.667
KPNA4	0	0.667	1.321	0	0	0.667
SCARNA7	0	0.667	1.321	0	0	0.667
ARL14	0	0.667	1.321	0	0	0.667
PPM1L	0	0.667	1.321	0	0	0.667
B3GALNT1	0	0.667	1.321	0	0	0.667
NMD3	0	0.667	1.321	0	0	0.667
SPTSSB	0	0.667	1.321	0	0	0.667
OTOL1	0	0.667	1.321	0	0	0.667
hsa-mir-1263	0	0.667	0.667	0	0	0.667
hsa-mir-720	0	0.667	0.667	0	0	0.667
SI	0	0.667	0.667	0	0	0.667
SLITRK3	0	0.667	0.667	0	0	0.667
BCHE	0	0.667	0.667	0	0	0.667
ZBBX	0	0.667	0.667	0	0	0.667
SERPINI2	0	0.667	0.667	0	0	0.667
WDR49	0	0.667	0.667	0	0	0.667
PDCD10	0	0.667	0.667	0	0	0.667
SERPINI1	0	0.667	0.667	0	0	0.667
GOLIM4	0	0.667	0.667	0	0	0.667
EGFEM1P	0	0.667	0.667	0	0	0.667
MIR551B	0	0.667	0.667	0	0	0.667
MECOM	0	0.667	0.667	0	0	0.667
MYNN	0	0.667	0.667	0	0	0.667
TERC	0	0.667	0.667	0	0	0.667
LRRC34	0	0.667	0.667	0	0	0.667
LRRC31	0	0.667	0.667	0	0	0.667
LRRIQ4	0	0.667	0.667	0	0	0.667
SAMD7	0	0.667	0.667	0	0	0.667
LOC100128164	0	0.667	0.667	0	0	0.667
SEC62	0	0.667	0.667	0	0	0.667
GPR160	0	0.667	0.667	0	0	0.667
PHC3	0	0.667	0.667	0	0	0.667
PRKCI	0	0.667	0.667	0	0	0.667
SKIL	0	0.667	0.667	0	0	0.667
CLDN11	0	0.667	0.667	0	0	0.667
SLC7A14	0	0.667	0.667	0	0	0.667
EIF5A2	0	0.667	0.667	0	0	0.667
RPL22L1	0	0.667	0.667	0	0	0.667
SLC2A2	0	0.667	0.667	0	0	0.667
TNIK	0	0.667	0.667	0	0	0.667
MIR569	0	0.667	0.667	0	0	0.667
PLD1	0	0.667	0.667	0	0	0.667
TMEM212	0	0.667	0.667	0	0	0.667
FNDC3B	0	0.667	0.667	0	0	0.667
GHSR	0	0.667	0.667	0	0	0.667
TNFSF10	0	0.667	0.667	0	0	0.667
NCEH1	0	0.667	0.667	0	0	0.667
ECT2	0	0.667	0.667	0	0	0.667
SPATA16	0	0.667	0.667	0	0	0.667
NLGN1	0	0.667	0.667	0	0	0.667
NAALADL2	-1	0.667	0.667	0	0	0.667
MIR4789	0	0.667	0.667	0	0	0.667
TBL1XR1	0	0.667	0.667	0	0	0.667
KCNMB2	0	0.667	1.333	0	0	0.667
ZMAT3	0	0.667	1.333	0	0	0.667
PIK3CA	0	0.667	1.333	0	0	0.667
KCNMB3	0	0.667	1.333	0	0	0.667
ZNF639	0	0.667	1.333	0	0	0.667
MFN1	0	0.667	1.333	0	0	0.667
GNB4	0	0.667	1.333	0	0	0.667
ACTL6A	0	0.667	1.333	0	0	0.667
MRPL47	0	0.667	1.333	0	0	0.667
NDUFB5	0	0.667	1.333	0	0	0.667
USP13	0	0.667	1.333	0	0	0.667
PEX5L	0	0.667	1.333	0	0	0.667
CCDC39	0	0.667	1.333	0	0	0.667
TTC14	0	0.667	1.333	0	0	0.667
FXR1	0	0.667	1.333	0	0	0.667
DNAJC19	0	0.667	1.333	0	0	0.667
SOX2-OT	0	0.667	1.333	0	0	0.667
SOX2	0	0.667	1.333	0	0	0.667
FLJ46066	0	0.667	1.333	0	0	0.667
ATP11B	0	0.667	1.333	0	0	0.667
DCUN1D1	0	0.667	1.333	0	0	0.667
MCCC1	0	0.667	1.333	0	0	0.667
LAMP3	0	0.667	1.333	0	0	0.667
MCF2L2	0	0.667	1.333	0	0	0.667
B3GNT5	0	0.667	1.333	0	0	0.667
KLHL6	0	0.667	1.333	0	0	0.667
KLHL24	0	0.667	1.333	0	0	0.667
YEATS2	0	0.667	1.333	0	0	0.667
MAP6D1	0	0.667	1.333	0	0	0.667
PARL	0	0.667	1.333	0	0	0.667
ABCC5	0	0.667	1.333	0	0	0.667
HTR3D	0	0.667	1.333	0	0	0.667
HTR3C	0	0.667	1.333	0	0	0.667
HTR3E	0	0.667	1.333	0	0	0.667
EIF2B5	0	0.667	1.333	0	0	0.667
AP2M1	0	0.667	1.333	0	0	0.667
DVL3	0	0.667	1.333	0	0	0.667
ABCF3	0	0.667	1.333	0	0	0.667
ALG3	0	0.667	1.333	0	0	0.667
CAMK2N2	0	0.667	1.333	0	0	0.667
ECE2	0	0.667	1.333	0	0	0.667
MIR1224	0	0.667	1.333	0	0	0.667
VWA5B2	0	0.667	1.333	0	0	0.667
EIF4G1	0	0.667	1.333	0	0	0.667
PSMD2	0	0.667	1.333	0	0	0.667
SNORD66	0	0.667	1.333	0	0	0.667
FAM131A	0	0.667	1.333	0	0	0.667
CHRD	0	0.667	1.333	0	0	0.667
CLCN2	0	0.667	1.333	0	0	0.667
POLR2H	0	0.667	1.333	0	0	0.667
THPO	0	0.667	1.333	0	0	0.667
EPHB3	0	0.667	1.333	0	0	0.667
MAGEF1	0	0.667	1.333	0	0	0.667
VPS8	0	0.667	1.333	0	0	0.667
C3orf70	0	0.667	1.333	0	0	0.667
EHHADH	0	0.667	1.333	0	0	0.667
MAP3K13	0	0.667	1.333	0	0	0.667
LIPH	0	0.667	1.333	0	0	0.667
TMEM41A	0	0.667	1.333	0	0	0.667
SENP2	0	0.667	1.333	0	0	0.667
IGF2BP2	0	0.667	1.333	0	0	0.667
C3orf65	0	0.667	1.333	0	0	0.667
LOC344887	0	0.667	1.333	0	0	0.667
TRA2B	0	0.667	1.333	0	0	0.667
ETV5	0	0.667	1.333	0	0	0.667
DGKG	0	0.667	1.333	0	0	0.667
CRYGS	0	0.667	1.333	0	0	0.667
AHSG	0	0.667	1.333	0	0	0.667
DNAJB11	0	0.667	1.333	0	0	0.667
FETUB	0	0.667	1.333	0	0	0.667
TBCCD1	0	0.667	1.333	0	0	0.667
HRG	0	0.667	1.333	0	0	0.667
KNG1	0	0.667	1.333	0	0	0.667
EIF4A2	0	0.667	1.333	0	0	0.667
SNORD2	0	0.667	1.333	0	0	0.667
MIR1248	0	0.667	1.333	0	0	0.667
SNORA4	0	0.667	1.333	0	0	0.667
SNORA63	0	0.667	1.333	0	0	0.667
SNORA81	0	0.667	1.333	0	0	0.667
RFC4	0	0.667	1.333	0	0	0.667
ADIPOQ	0	0.667	1.333	0	0	0.667
ST6GAL1	0	0.667	1.333	0	0	0.667
RPL39L	0	0.667	1.333	0	0	0.667
MASP1	0	0.667	1.333	0	0	0.667
RTP1	0	0.667	1.333	0	0	0.667
RTP4	0	0.667	1.333	0	0	0.667
LOC100131635	0	0.667	1.333	0	0	0.667
RTP2	0	0.667	1.333	0	0	0.667
SST	0	0.667	1.333	0	0	0.667
BCL6	0	0.667	1.333	0	0	0.667
LPP-AS2	0	0.667	1.333	0	0	1.333
LPP	0	0.667	1.333	0	0	1.333
FLJ42393	0	0.667	1.333	0	0	1.333
hsa-mir-28	0	0.667	1.333	0	0	1.333
TPRG1	0	0.667	1.333	0	0	-0.667
TP63	0	0.667	1.333	-0.007	0	-0.667
MIR944	0	0.667	1.296	-0.007	0	-0.667
LEPREL1	0	0.667	1.296	-0.007	0	-0.667
CLDN1	0	0.667	1.296	-0.007	0	-0.667
CLDN16	0	0.667	1.296	-0.007	0	-0.667
TMEM207	0	0.667	1.296	-0.007	0	-0.667
IL1RAP	0	0.667	1.296	-0.007	0	-0.667
GMNC	0	0.667	1.296	-0.007	0	-0.667
SNAR-I	0	0.667	1.296	-0.007	0	-0.667
OSTN	0	0.667	1.296	-0.007	0	-0.667
CCDC50	0	0.667	1.296	-0.007	0	-0.667
PYDC2	0	0.667	1.296	-0.007	0	-0.667
FGF12	0	0.667	1.296	-0.007	0	-0.667
MB21D2	0	0.667	1.296	-0.007	0	-0.667
HRASLS	0	0.667	1.333	-0.007	0	-0.667
MGC2889	0	0.667	1.333	-0.007	0	-0.667
ATP13A5	0	0.667	1.333	-0.007	0	-0.667
ATP13A4	0	0.667	1.333	-0.007	0	-0.667
OPA1	0	0.667	1.333	-0.007	0	-0.667
HES1	0	0.667	0.647	-0.007	0	-0.667
CPN2	0	0.667	0.647	-0.007	0	-0.667
LRRC15	0	0.667	0.647	-0.007	0	-0.667
GP5	0	0.667	0.647	-0.007	0	-0.667
ATP13A3	0	0.667	0.647	-0.007	0	-0.667
TMEM44	0	0.667	0.647	-0.007	0	-0.667
LSG1	0	0.667	0.647	-0.007	0	-0.667
FAM43A	0	0.667	0.647	-0.007	0	-0.667
XXYLT1	0	0.667	0.647	-0.007	0	-0.667
hsa-mir-3137	0	0.667	0.647	-0.007	0	-0.667
ACAP2	0	0.667	0.647	-0.007	0	-0.667
PPP1R2	0	0.667	0.647	-0.007	0	-0.667
APOD	0	0.667	0.647	-0.007	0	-0.667
SDHAP2	0	0.667	0.647	-0.007	0	-0.667
MIR570	0	0.667	0.647	-0.007	0	-0.667
MUC20	0	0.667	0.647	-0.007	0	-0.667
MUC4	0	0.667	0.647	-0.007	0	-0.667
TNK2	0	0.667	0.647	-0.007	0	-0.667
SDHAP1	0	0.667	0.647	-0.007	0	-0.667
TFRC	0	0.667	0.647	-0.007	0	-0.667
ZDHHC19	0	0.667	0.647	-0.007	0	-0.667
PCYT1A	0	0.667	0.647	-0.007	0	-0.667
TCTEX1D2	0	0.667	1.333	-0.007	0	-0.667
TM4SF19-TCTEX1D2	0	0.667	1.333	-0.007	0	-0.667
TM4SF19	0	0.667	1.333	-0.007	0	-0.667
UBXN7	0	0.667	1.333	-0.007	0	-0.667
C3orf43	0	0.667	1.333	-0.007	0	-0.667
RNF168	0	0.667	1.333	-0.007	0	-0.667
FBXO45	0	0.667	1.333	-0.007	0	-0.667
WDR53	0	0.667	1.333	-0.007	0	-0.667
CEP19	0	0.667	1.333	-0.007	0	-0.667
PIGX	0	0.667	1.333	-0.007	0	-0.667
PAK2	0	0.667	1.333	-0.007	0	-0.667
SENP5	0	0.667	1.333	-0.007	0	-0.667
NCBP2	0	0.667	1.333	-0.007	0	-0.667
PIGZ	0	0.667	1.333	-0.007	0	-0.667
MFI2-AS1	0	0.667	1.333	-0.007	0	-0.667
MFI2	0	0.667	1.333	-0.007	0	-0.667
DLG1	0	0.667	1.333	-0.007	0	-0.667
MIR4797	0	0.667	1.333	-0.007	0	-0.667
BDH1	0	0.667	1.333	-0.007	0	-0.667
LOC220729	0	0.667	1.333	-0.007	0	-0.667
KIAA0226	0	0.667	1.333	-0.007	0	-0.667
MIR922	0	0.667	1.333	-0.007	0	-0.667
FYTTD1	0	0.667	1.333	-0.007	0	-0.667
LRCH3	0	0.667	1.333	-0.007	0	-0.667
IQCG	0	0.667	1.333	-0.007	0	-0.667
RPL35A	0	0.667	1.333	-0.007	0	-0.667
LMLN	0	0.667	1.333	-0.007	0	-0.667
ANKRD18DP	0	0.667	1.333	-0.007	0	-0.667
FAM157A	0	0.667	1.333	-0.007	0	-0.667
PLEKHG4B	0	0.667	0	0.667	0	0
LRRC14B	0	0.667	0	0.667	0	0
CCDC127	0	0.667	0	0.667	0	0
SDHA	0	0.667	0	0.667	0	0
PDCD6	0	0.667	0	0.667	0	0
AHRR	0	0.667	0	0.667	0	0
C5orf55	0	0.667	0	0.667	0	0
EXOC3	0	0.667	0	0.667	0	0
PP7080	0	0.667	0	0.667	0	0
SLC9A3	0	0.667	0	0.667	0	0
MIR4456	0	0.667	0	0.667	0	0
CEP72	0	0.667	0	0.667	0	0
TPPP	0	0.667	0	0.667	0	0
ZDHHC11	0	0.667	0	0.667	0	0
BRD9	0	0.667	0	0.667	0	0
TRIP13	0	0.667	0	0.667	0	0
LOC100506688	0	0.667	0	0.667	0	0
NKD2	0	0.667	0	0.667	0	0
MIR4635	0	0.667	0	0.667	0	0
SLC12A7	0	0.667	0	0.667	0	0
SLC6A19	0	0.667	0	0.667	0	0
SLC6A18	0	0.667	0	0.667	0	0
TERT	0	0.667	0	0.667	0	0
MIR4457	0	0.667	0	0.667	0	0
CLPTM1L	0	0.667	0	0.667	0	0
SLC6A3	0	0.667	0	0.667	0	0
LPCAT1	0	0.667	0	0.667	0	0
SDHAP3	0	0.667	0	0.667	0	0
LOC728613	0	0.667	0	0.667	0	0
MIR4277	0	0.667	0	0.667	0	0
MRPL36	0	0.667	0	0.667	0	0
NDUFS6	0	0.667	0	0.667	0	0
IRX4	0	0.667	0	0.667	0	0
C5orf38	0	0.667	0	0.667	0	0
IRX2	0	0.667	0	0.667	0	0
IRX1	0	0.667	0	0.667	0	0
ADAMTS16	0	0.667	0	0.667	0	0
KIAA0947	0	0.667	0	0.667	-1	0
FLJ33360	0	0.667	0	0.667	0	0
MED10	0	0.667	0	0.667	0	0
UBE2QL1	0	0.667	0	0.667	0	0
NSUN2	0	0.667	0	0.667	0	0
SRD5A1	0	0.667	0	0.667	0	0
PAPD7	0	0.667	0	0.667	0	0
MIR4278	0	0.667	0	0.667	0	0
MIR4454	0	0.667	0	0.667	0	0
LOC442132	0	0.667	0	0.667	0	0
ADCY2	0	0.667	0	0.667	0	0
C5orf49	0	0.667	0	0.667	0	0
FASTKD3	0	0.667	0	0.667	0	0
MTRR	0	0.667	0	0.667	0	0
LOC729506	0	0.667	0	0.667	-1	0
MIR4458	0	0.667	0	0.667	0	0
SEMA5A	0	0.667	0	0.667	0	0
MIR4636	0	0.667	0	0.667	0	0
SNORD123	0	0.667	0	0.667	0	0
LOC285692	0	0.667	0	0.667	0	0
TAS2R1	0	0.667	0	0.667	0	0
FAM173B	0	0.667	0	0.667	0	0
CCT5	0	0.667	0	0.667	0	0
CMBL	0	0.667	0	0.667	0	0
MARCH6	0	0.667	0	0.667	0	0
ROPN1L	0	0.667	0	0.667	0	0
ANKRD33B	0	0.667	0	0.667	0	0
DAP	0	0.667	0	0.667	0	0
CTNND2	0	0.667	0	0.667	0	0
DNAH5	0	0.667	0	0.667	0	0
TRIO	0	0.667	0	0.667	-1	0
FAM105A	0	0.667	0	0.667	0	0
FAM105B	0	0.667	0	0.667	0	0
ANKH	0	0.667	0	0.667	0	0
LOC100130744	0	0.667	0	0.667	0	0
MIR4637	0	0.667	0	0.667	0	0
FBXL7	0	0.667	0	0.667	0	0
hsa-mir-887	0	0.667	0	0.667	0	0
MARCH11	0	0.667	0	0.667	0	0
ZNF622	0	0.667	0	0.667	0	0
FAM134B	0	0.667	0	0.667	0	0
MYO10	0	0.667	0	0.667	0	0
BASP1	0	0.667	0	0.667	0	0
LOC401177	0	0.667	0	0.667	0	0
CDH18	0	0.667	0	0.667	0	0
CDH12	0	0.667	0	0.667	0	0
CDH9	0	0.667	0	0.667	0	0
PDZD2	0	0.667	0	0.667	0	0
SLC45A2	0	0.667	0	0.667	0	0
AMACR	0	0.667	0	0.667	0	0
C1QTNF3-AMACR	0	0.667	0	0.667	0	0
C1QTNF3	0	0.667	0	0.667	0	0
RAI14	0	0.667	0	0.667	0	0
PRLR	0	0.667	0	0.667	0	0
SPEF2	0	0.667	0	0.667	0	0
IL7R	0	0.667	0	0.667	0	0
CAPSL	0	0.667	0	0.667	0	0
UGT3A1	0	0.667	0	0.667	0	0
UGT3A2	0	0.667	0	0.667	0	0
LMBRD2	0	0.667	0	0.667	0	0
MIR580	0	0.667	0	0.667	0	0
SKP2	0	0.667	0	0.667	0	0
RANBP3L	0	0.667	0	0.667	0	0
SLC1A3	0	0.667	0	0.667	0	0
LOC646719	0	0.667	0	0.667	0	0
NIPBL	0	0.667	0	0.667	0	0
C5orf42	0	0.667	0	0.667	0	0
NUP155	0	0.667	0	0.667	0	0
WDR70	0	0.667	0	0.667	0	0
EGFLAM	0	0.667	0	0.667	0	0
EGFLAM-AS4	0	0.667	0	0.667	0	0
LIFR	0	0.667	0	0.667	0	0
MIR3650	0	0.667	0	0.667	0	0
OSMR	0	0.667	0	0.667	0	0
RICTOR	0	0.667	0	0.667	0	0
FYB	0	0.667	0	0.667	0	0
C9	0	0.667	0	0.667	0	0
DAB2	0	0.667	0	0.667	0	0
HCN1	0	0.667	0	0.667	0	0
EMB	0	0.667	0	-0.667	-0.5	0
PARP8	0	0.667	0	-0.667	-0.5	0
FLJ45974	0	0.667	0.667	0.667	1	1.333
HPVC1	0	0.667	0.667	0.667	1	1.333
VSTM2A	0	0.667	0.667	0.667	1	1.333
SEC61G	0	0.667	0.667	0.667	1	1.333
EGFR	0	0.667	0.667	0.667	1	1.333
LANCL2	0	0.667	0	0.667	1	1.333
VOPP1	0	0.667	0	0.667	1	1.333
FKBP9L	0	0.667	0	0.667	1	0
SEPT14	0	0.667	0	0.667	1	0
ZNF713	0	0.667	0	0.667	1	0
MRPS17	0	0.667	0	0.667	1	0
GBAS	0	0.667	0	0.667	1	0
PSPH	0	0.667	0	0.667	1	0
CCT6A	0	0.667	0	0.667	1	0
SNORA15	0	0.667	0	0.667	1	0
SUMF2	0	0.667	0	0.667	1	0
CHCHD2	0	0.667	0	0.667	1	0
PHKG1	0	0.667	0	0.667	1	0
LOC650226	0	0.667	0.667	0.667	1	0
DKFZp434L192	0	0.667	0.667	0.667	1	0
LOC100130849	0	0.667	0.667	0.667	1	0
MIR4283-1	0	0.667	0.667	0.667	1	0
MIR4283-2	0	0.667	0.667	0.667	1	0
ZNF479	0	0.667	0.667	0.667	1	0
CDK6	0	0.667	0.667	0.667	0	0
CSMD1	-1	-0.667	-0.667	0	1	-1.293
BLK	-1	-0.667	-0.667	0	-1	-1.293
GATA4	-1	-0.667	-0.667	0	-1	-1.293
NEIL2	-1	-0.667	-0.667	0	-1	-1.293
FDFT1	-1	-0.667	-0.667	0	-1	-1.293
CTSB	-1	-0.667	-0.667	0	-1	-1.293
DEFB136	-1	-0.667	-0.667	0	-1	-1.293
DEFB135	-1	-0.667	-0.667	0	-1	-1.293
DEFB134	-1	-0.667	-0.667	0	-1	-1.293
DEFB130	-1	-0.667	-0.667	0	-1	-1.293
ZNF705D	-1	-0.667	-0.667	0	-1	-1.293
FAM66D	-1	-0.667	-0.667	0	-1	-1.293
LOC392196	-1	-0.667	-0.667	0	-1	-1.293
USP17L2	-1	-0.667	-0.667	0	-1	-1.293
FAM86B1	-1	-0.667	-0.667	0	-1	-1.293
FAM66A	-1	-0.667	-0.667	0	-1	-1.293
DEFB109P1	-1	-0.667	-0.667	0	-1	-1.293
FAM90A25P	-1	-0.667	-0.667	0	-1	-1.293
FAM86B2	-1	-0.667	-0.667	0	-1	-1.293
LOC100506990	-1	-0.667	-0.667	0	-1	-1.293
