Gene 	 CNA_Weight 
KIAA1804 	 1 
LRRTM4 	 1 
FHIT 	 1 
NAALADL2 	 0.25 
MIR4789 	 0.25 
NAALADL2-AS3 	 0.25 
MIR548AY 	 0.25 
CCSER1 	 1 
IRF2 	 1 
GRXCR1 	 1 
hsa-mir-582 	 0.3333333 
PDE4D 	 0.3333333 
PART1 	 0.3333333 
RP11-159K7.2 	 1 
PARK2 	 0.5 
PACRG 	 0.5 
GMDS 	 1 
PTPRK 	 1 
LRRN3 	 0.5 
IMMP2L 	 0.5 
CSMD1 	 1 
FNTA 	 0.25 
POMK 	 0.25 
HGSNAT 	 0.25 
POTEA 	 0.25 
UNC5D 	 1 
PRKG1 	 0.25 
CSTF2T 	 0.25 
MIR605 	 0.25 
PRKG1-AS1 	 0.25 
TCF7L2 	 1 
CUL5 	 0.5 
RAB39A 	 0.5 
EMP1 	 0.07142857 
GPRC5A 	 0.07142857 
HEBP1 	 0.07142857 
DDX47 	 0.07142857 
GPRC5D 	 0.07142857 
KIAA1467 	 0.07142857 
APOLD1 	 0.07142857 
GSG1 	 0.07142857 
HTR7P1 	 0.07142857 
C12orf36 	 0.07142857 
RPL13AP20 	 0.07142857 
MIR613 	 0.07142857 
MIR614 	 0.07142857 
RP11-392P7.6 	 0.07142857 
KERA 	 1 
KLHL33 	 1 
GTF2A1 	 0.5 
SNORA79 	 0.5 
SMAD3 	 1 
TCF12 	 0.5 
LOC145783 	 0.5 
RBFOX1 	 1 
WWOX 	 1 
ELAC1 	 1 
MBP 	 1 
LPIN2 	 0.1428571 
NDC80 	 0.1428571 
SMCHD1 	 0.1428571 
METTL4 	 0.1428571 
EMILIN2 	 0.1428571 
CBX3P2 	 0.1428571 
LOC727896 	 0.1428571 
LINC00305 	 0.3333333 
RP11-146N18.1 	 0.3333333 
RP11-909B2.1 	 0.3333333 
FLRT3 	 0.2 
SEL1L2 	 0.2 
MACROD2-IT1 	 0.2 
hsa-mir-3118-5 	 0.0625 
BAGE 	 0.0625 
TPTE 	 0.0625 
C21orf15 	 0.0625 
BAGE4 	 0.0625 
BAGE3 	 0.0625 
BAGE2 	 0.0625 
ANKRD30BP2 	 0.0625 
POTED 	 0.0625 
ANKRD20A11P 	 0.0625 
TEKT4P2 	 0.0625 
MIR3156-3 	 0.0625 
MIR3687 	 0.0625 
MIR3648 	 0.0625 
MIR8069 	 0.0625 
AP001465.5 	 0.0625 
ICOSLG 	 0.5 
DNMT3L 	 0.5 
ATXN10 	 0.5 
MIR4762 	 0.5 
SLC25A6 	 0.03030303 
ARSD 	 0.03030303 
ARSE 	 0.03030303 
ARSF 	 0.03030303 
ASMT 	 0.03030303 
CSF2RA 	 0.03030303 
IL3RA 	 0.03030303 
CD99 	 0.03030303 
PRKX 	 0.03030303 
SHOX 	 0.03030303 
XG 	 0.03030303 
GTPBP6 	 0.03030303 
AKAP17A 	 0.03030303 
ASMTL 	 0.03030303 
GYG2 	 0.03030303 
ZBED1 	 0.03030303 
MXRA5 	 0.03030303 
PPP2R3B 	 0.03030303 
PLCXD1 	 0.03030303 
CRLF2 	 0.03030303 
ASMTL-AS1 	 0.03030303 
DHRSX 	 0.03030303 
LINC00685 	 0.03030303 
P2RY8 	 0.03030303 
ARSH 	 0.03030303 
LOC389906 	 0.03030303 
CD99P1 	 0.03030303 
CXorf28 	 0.03030303 
XGPY2 	 0.03030303 
LINC00102 	 0.03030303 
MIR3690 	 0.03030303 
PRKX-AS1 	 0.03030303 
MIR6089-1 	 0.03030303 
