Model_name	TCGA_Type	CCLE_cBioPortal
KNS-81	GBM	KNS81_CENTRAL_NERVOUS_SYSTEM
KNS-81-FD	GBM	NA
KOSC-2	HNSC	NA
KP-1N	PAAD	NA
KP-2	PAAD	KP2_PANCREAS
KP-3	PAAD	KP3_PANCREAS
KP-3L	PAAD	NA
KP-3N	PAAD	NA
KP-4	PAAD	KP4_PANCREAS
KPL-1	BRCA	KPL1_BREAST
KS-1	GBM	KS1_CENTRAL_NERVOUS_SYSTEM
KU-19-19	BLCA	KU1919_URINARY_TRACT
KURAMOCHI	OV	KURAMOCHI_OVARY
KY821	LAML	NA
KYSE-140	ESCA	KYSE140_OESOPHAGUS
KYSE-150	ESCA	KYSE150_OESOPHAGUS
KYSE-180	ESCA	KYSE180_OESOPHAGUS
KYSE-220	ESCA	NA
KYSE-270	ESCA	KYSE270_OESOPHAGUS
KYSE-30	ESCA	KYSE30_OESOPHAGUS
KYSE-410	ESCA	KYSE410_OESOPHAGUS
KYSE-450	ESCA	KYSE450_OESOPHAGUS
KYSE-50	ESCA	NA
KYSE-510	ESCA	KYSE510_OESOPHAGUS
KYSE-520	ESCA	KYSE520_OESOPHAGUS
KYSE-70	ESCA	KYSE70_OESOPHAGUS
LB1047-RCC	KIRC	NA
LB2241-RCC	KIRC	NA
LB2518-MEL	SKCM	NA
LB373-MEL-D	SKCM	NA
LB771-HNC	HNSC	NA
LB831-BLC	BLCA	NA
LB996-RCC	KIRC	NA
LC-1F	LUSC	NA
LC-1-sq	LUSC	NA
LC-1-sq-SF	LUSC	LC1SQSF_LUNG
LC-2-ad	LUAD	NA
LIM1215	COAD	NA
LK-2	LUSC	LK2_LUNG
LN-18	GBM	LN18_CENTRAL_NERVOUS_SYSTEM
LN-229	GBM	LN229_CENTRAL_NERVOUS_SYSTEM
LN-405	GBM	NA
LN-464	GBM	NA
LNCaP-Clone-FGC	PRAD	LNCAPCLONEFGC_PROSTATE
LN-Z308	LGG	NA
LNZTA3WT4	LGG	NA
LOU-NH91	LUSC	LOUNH91_LUNG
LoVo	COAD	LOVO_LARGE_INTESTINE
LOXIMVI	SKCM	LOXIMVI_SKIN
LS-1034	COAD	LS1034_LARGE_INTESTINE
LS-123	COAD	LS123_LARGE_INTESTINE
LS-174T	COAD	NA
LS-180	COAD	LS180_LARGE_INTESTINE
LS-411N	COAD	LS411N_LARGE_INTESTINE
LS-513	COAD	LS513_LARGE_INTESTINE
LXF-289	LUAD	LXF289_LUNG
M00921	SKCM	NA
M059J	GBM	NA
M059K	GBM	M059K_CENTRAL_NERVOUS_SYSTEM
M120326_2	SKCM	NA
M120327_3	SKCM	NA
M14	SKCM	NA
M980513	SKCM	NA
Malme-3M	SKCM	MALME3M_SKIN
Marcus	LGG	NA
MC-1010	LAML	NA
MC116	DLBC	MC116_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
MCAS	OV	MCAS_OVARY
MCF7	BRCA	MCF7_BREAST
MDA-MB-134-VI	BRCA	MDAMB134VI_BREAST
MDA-MB-157	BRCA	MDAMB157_BREAST
MDA-MB-175-VII	BRCA	MDAMB175VII_BREAST
MDA-MB-231	BRCA	MDAMB231_BREAST
MDA-MB-330	BRCA	NA
MDA-MB-361	BRCA	MDAMB361_BREAST
MDA-MB-415	BRCA	MDAMB415_BREAST
MDA-MB-435	SKCM	NA
MDA-MB-435S	SKCM	MDAMB435S_SKIN
MDA-MB-436	BRCA	MDAMB436_BREAST
MDA-MB-453	BRCA	MDAMB453_BREAST
MDA-MB-468	BRCA	MDAMB468_BREAST
MDST8	COAD	MDST8_LARGE_INTESTINE
ME-1	LAML	ME1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ME-180	CESC	NA
MEL-HO	SKCM	MELHO_SKIN
MEL-JUSO	SKCM	MELJUSO_SKIN
MET-2B	SKCM	NA
Mewo	SKCM	MEWO_SKIN
MFE-280	UCEC	MFE280_ENDOMETRIUM
MFE-296	UCEC	MFE296_ENDOMETRIUM
MFE-319	UCEC	MFE319_ENDOMETRIUM
MFM-223	BRCA	NA
MHH-PREB-1	DLBC	NA
MIA-PaCa-2	PAAD	MIAPACA2_PANCREAS
MKN1	STAD	MKN1_STOMACH
MKN28	STAD	NA
MKN45	STAD	MKN45_STOMACH
MKN7	STAD	MKN7_STOMACH
MKN74	STAD	MKN74_STOMACH
ML-1	LAML	ML1_THYROID
ML-2	LAML	NA
ML-3	LAML	NA
MMAc	SKCM	NA
MMAC-SF	SKCM	NA
MOG-G-CCM	LGG	NA
MOG-G-UVW	LGG	NA
MOLM-13	LAML	MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
MOLM-14	LAML	NA
MOLM-16	LAML	MOLM16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
MONO-MAC-1	LAML	MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
MONO-MAC-6	LAML	MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
MPP-89	MESO	MPP89_PLEURA
MRK-nu-1	BRCA	NA
MS751	CESC	NA
MSTO-211H	MESO	MSTO211H_PLEURA
MV-4-11	LAML	MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
MZ1-PC	PAAD	NA
MZ2-MEL	SKCM	NA
MZ7-mel	SKCM	NA
NB4	LAML	NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
NCC010	KIRC	NA
NCC021	KIRC	NA
NCI-ADR-RES	OV	NA
NCI-H1355	LUAD	NCIH1355_LUNG
NCI-H1395	LUAD	NCIH1395_LUNG
NCI-H1437	LUAD	NCIH1437_LUNG
NCI-H1563	LUAD	NCIH1563_LUNG
NCI-H1568	LUAD	NCIH1568_LUNG
NCI-H1573	LUAD	NCIH1573_LUNG
NCI-H1623	LUAD	NCIH1623_LUNG
NCI-H1648	LUAD	NCIH1648_LUNG
NCI-H1650	LUAD	NCIH1650_LUNG
NCI-H1651	LUAD	NCIH1651_LUNG
NCI-H1666	LUAD	NCIH1666_LUNG
NCI-H1693	LUAD	NCIH1693_LUNG
NCI-H1703	LUSC	NCIH1703_LUNG
NCI-H1734	LUAD	NCIH1734_LUNG
NCI-H1755	LUAD	NCIH1755_LUNG
NCI-H1781	LUAD	NCIH1781_LUNG
NCI-H1792	LUAD	NCIH1792_LUNG
NCI-H1793	LUAD	NCIH1793_LUNG
NCI-H1838	LUAD	NCIH1838_LUNG
NCI-H1944	LUAD	NCIH1944_LUNG
NCI-H1975	LUAD	NCIH1975_LUNG
NCI-H1993	LUAD	NA
NCI-H2009	LUAD	NCIH2009_LUNG
NCI-H2030	LUAD	NCIH2030_LUNG
NCI-H2052	MESO	NCIH2052_PLEURA
NCI-H2066	LUSC	NCIH2066_LUNG
NCI-H2073	LUAD	NCIH2073_LUNG
NCI-H2087	LUAD	NCIH2087_LUNG
NCI-H2122	LUAD	NCIH2122_LUNG
NCI-H2170	LUSC	NCIH2170_LUNG
NCI-H2228	LUAD	NCIH2228_LUNG
NCI-H226	MESO	NCIH226_LUNG
NCI-H2286	LUSC	NCIH2286_LUNG
NCI-H2291	LUAD	NCIH2291_LUNG
NCI-H23	LUAD	NCIH23_LUNG
NCI-H2342	LUAD	NCIH2342_LUNG
NCI-H2347	LUAD	NCIH2347_LUNG
NCI-H2369	MESO	NA
NCI-H2373	MESO	NA
NCI-H2405	LUAD	NCIH2405_LUNG
NCI-H2452	MESO	NCIH2452_PLEURA
NCI-H2461	MESO	NA
NCI-H2591	MESO	NA
NCI-H2595	MESO	NA
NCI-H2722	MESO	NA
NCI-H2731	MESO	NA
NCI-H2795	MESO	NA
NCI-H28	MESO	NCIH28_PLEURA
NCI-H2803	MESO	NA
NCI-H2804	MESO	NA
NCI-H2810	MESO	NA
NCI-H2818	MESO	NA
NCI-H2869	MESO	NA
NCI-H290	MESO	NA
NCI-H3118	HNSC	NA
NCI-H3122	LUAD	NA
NCI-H322M	LUAD	NA
NCI-H358	LUAD	NCIH358_LUNG
NCI-H441	LUAD	NCIH441_LUNG
NCI-H508	COAD	NCIH508_LARGE_INTESTINE
NCI-H520	LUSC	NCIH520_LUNG
NCI-H522	LUAD	NCIH522_LUNG
NCI-H650	LUAD	NCIH650_LUNG
NCI-H660	PRAD	NCIH660_PROSTATE
NCI-H716	COAD	NCIH716_LARGE_INTESTINE
NCI-H747	COAD	NCIH747_LARGE_INTESTINE
NCI-H820	LUAD	NA
NCI-H838	LUAD	NCIH838_LUNG
NCI-N87	STAD	NCIN87_STOMACH
NCOL-1	COAD	NA
NKM-1	LAML	NA
NMC-G1	LGG	NMCG1_CENTRAL_NERVOUS_SYSTEM
no-10	GBM	NA
no-11	GBM	NA
NOMO-1	LAML	NOMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
NU-DUL-1	DLBC	NUDUL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
NUGC-3	STAD	NUGC3_STOMACH
NUGC-4	STAD	NUGC4_STOMACH
OAW-28	OV	OAW28_OVARY
OAW-42	OV	OAW42_OVARY
OC-314	OV	OC314_OVARY
OC-316	OV	OC316_OVARY
OCI-AML2	LAML	OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
OCI-AML3	LAML	OCIAML3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
OCI-AML5	LAML	OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
OCI-LY-19	DLBC	OCILY19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
OCI-LY7	DLBC	NA
OCI-M1	LAML	OCIM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
OCUB-M	BRCA	NA
OCUM-1	STAD	OCUM1_STOMACH
OE21	ESCA	OE21_OESOPHAGUS
OMC-1	CESC	NA
ONCO-DG-1	OV	NA
OS-RC-2	KIRC	NA
OUMS-23	COAD	OUMS23_LARGE_INTESTINE
OV-17R	OV	NA
OV-56	OV	OV56_OVARY
OV-7	OV	OV7_OVARY
OV-90	OV	OV90_OVARY
OVCA420	OV	NA
OVCA433	OV	NA
OVCAR-3	OV	NA
OVCAR-4	OV	OVCAR4_OVARY
OVCAR-5	OV	NA
OVCAR-8	OV	OVCAR8_OVARY
OVISE	OV	OVISE_OVARY
OVK-18	OV	OVK18_OVARY
OVKATE	OV	OVKATE_OVARY
OVMIU	OV	NA
OVSAYO	OV	NA
OVTOKO	OV	OVTOKO_OVARY
P31-FUJ	LAML	P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
PA-1	OV	NA
PANC-02-03	PAAD	PANC0203_PANCREAS
PANC-03-27	PAAD	PANC0327_PANCREAS
PANC-04-03	PAAD	PANC0403_PANCREAS
PANC-08-13	PAAD	PANC0813_PANCREAS
PANC-1	PAAD	PANC1_PANCREAS
PANC-10-05	PAAD	PANC1005_PANCREAS
PA-TU-8902	PAAD	PATU8902_PANCREAS
PA-TU-8988S	PAAD	PATU8988S_PANCREAS
PA-TU-8988T	PAAD	PATU8988T_PANCREAS
PC-14	LUAD	PC14_LUNG
PC-3	PRAD	PC3_PROSTATE
PC-3_[JPC-3]	LUAD	NA
PC-9	LUAD	NA
PCI-15A	HNSC	NA
PCI-30	HNSC	NA
PCI-38	HNSC	NA
PCI-4B	HNSC	NA
PCI-6A	HNSC	NA
PEO1	OV	NA
PEO4	OV	NA
PEO6	OV	NA
PL18	PAAD	NA
PL-21	LAML	PL21_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
PL4	PAAD	NA
PL45	PAAD	PL45_PANCREAS
PLB-985	LAML	NA
PSN1	PAAD	PSN1_PANCREAS
QIMR-WIL	LAML	NA
RCC10RGB	KIRC	RCC10RGB_KIDNEY
RCC-AB	KIRC	NA
RCC-ER	KIRC	NA
RCC-FG2	KIRC	NA
RCC-JF	KIRC	NA
RCC-JW	KIRC	NA
RCC-MF	KIRC	NA
RC-K8	DLBC	NA
RCM-1	READ	RCM1_LARGE_INTESTINE
RERF-GC-1B	STAD	RERFGC1B_STOMACH
RERF-LC-AI	LUSC	RERFLCAI_LUNG
RERF-LC-KJ	LUAD	RERFLCKJ_LUNG
RERF-LC-MA	LUSC	NA
RERF-LC-MS	LUAD	RERFLCMS_LUNG
RERF-LC-OK	LGG	NA
RERF-LC-Sq1	LUSC	RERFLCSQ1_LUNG
RF-1	DLBC	NA
RF-48	DLBC	NA
RKO	COAD	RKO_LARGE_INTESTINE
RKO-E6	COAD	NA
RL	DLBC	RL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
RL95-2	UCEC	RL952_ENDOMETRIUM
RMG-I	OV	RMGI_OVARY
RO82-W-1	THCA	NA
ROS-50	DLBC	NA
RPMI-2650	HNSC	NA
RPMI-7932	SKCM	NA
RPMI-7951	SKCM	RPMI7951_SKIN
RT-112	BLCA	RT112_URINARY_TRACT
RT112-84	BLCA	RT11284_URINARY_TRACT
RT4	BLCA	RT4_URINARY_TRACT
RVH-421	SKCM	RVH421_SKIN
RXF393	KIRC	NA
S-117	THCA	S117_SOFT_TISSUE
SACC-83	HNSC	NA
SAT	HNSC	NA
SC-1	DLBC	NA
SCaBER	BLCA	SCABER_URINARY_TRACT
SCC152	HNSC	NA
SCC-3	DLBC	NA
SCC90	HNSC	NA
SCH	STAD	NA
Set2	LAML	SET2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
SF126	GBM	SF126_CENTRAL_NERVOUS_SYSTEM
SF268	LGG	NA
SF295	GBM	SF295_CENTRAL_NERVOUS_SYSTEM
SF767	CESC	NA
SH-4	SKCM	SH4_SKIN
SIG-M5	LAML	SIGM5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
SiHa	CESC	NA
SISO	CESC	NA
SK-BR-3	BRCA	SKBR3_BREAST
SK-CO-1	COAD	SKCO1_LARGE_INTESTINE
SKG-IIIa	CESC	NA
SK-GT-2	STAD	NA
SK-HEP-1	LIHC	SKHEP1_LIVER
SK-LU-1	LUAD	SKLU1_LUNG
SKM-1	LAML	SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
SK-MEL-1	SKCM	SKMEL1_SKIN
SK-MEL-2	SKCM	SKMEL2_SKIN
SK-MEL-24	SKCM	SKMEL24_SKIN
SK-MEL-28	SKCM	SKMEL28_SKIN
SK-MEL-3	SKCM	SKMEL3_SKIN
SK-MEL-30	SKCM	SKMEL30_SKIN
SK-MEL-31	SKCM	SKMEL31_SKIN
SK-MEL-5	SKCM	SKMEL5_SKIN
SK-MES-1	LUSC	SKMES1_LUNG
SK-MG-1	LGG	NA
SKN-3	HNSC	NA
SK-NEP-1	KIRC	NA
